person,num_credits,potential_percent,def_percent,snl_percent,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Christine Ebersole,131,0.549618320610687,0.030534351145038167,0.007633587786259542,1981.0,1982.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,https://www.imdb.com/name/nm0002056/?ref_=fn_nm_nm_1,0.0,18.0,2.0,0.0943716063480226
Gail Matthius,49,0.5102040816326531,0.061224489795918366,0,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,https://www.imdb.com/name/nm0560257/?ref_=fn_nm_nm_1,0.0,13.0,0.0,0.0936870499405746
Billy Crystal,408,0.6936274509803921,0.061274509803921566,0.02696078431372549,1984.0,1985.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,https://www.imdb.com/name/nm0000345/?ref_=fn_nm_nm_1,18.0,19.0,4.0,0.0962281233250215
Horatio Sanz,179,0.7988826815642458,0.22905027932960895,0.027932960893854747,1998.0,2006.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,https://www.imdb.com/name/nm0764445/?ref_=fn_nm_nm_1,0.0,159.0,2.0,0.1182963721423411
Joe Piscopo,140,0.5285714285714286,0.11428571428571428,0.007142857142857143,1980.0,1984.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,https://www.imdb.com/name/nm0685472/?ref_=fn_nm_nm_1,38.0,68.0,5.0,0.1077000069912143
Garrett Morris,178,0.5955056179775281,0.1853932584269663,0.011235955056179775,1975.0,1980.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0606541/?ref_=fn_nm_nm_1,1.0,97.0,13.0,0.1080135629558854
Fred Wolf,35,0.8857142857142857,0.3142857142857143,0.2,1991.0,1996.0,5.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0937748/?ref_=fn_nm_nm_1,96.0,19.0,5.0,0.0834155344783388
James Downey (I),45,0.9333333333333333,0.7333333333333333,0.1111111111111111,1976.0,2014.0,28.0,31.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0235999/?ref_=fn_nm_nm_1,558.0,89.0,244.0,0.166157715970264
Tom Davis (I),50,0.88,0.64,0.16,1975.0,2003.0,15.0,15.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0205569/?ref_=fn_nm_nm_1,279.0,154.0,158.0,0.0902958914963529
Al Franken,184,0.7608695652173914,0.1956521739130435,0.059782608695652176,1977.0,1995.0,15.0,15.0,0.0,12.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0291253/?ref_=fn_nm_nm_1,301.0,115.0,201.0,0.1345448874802886
Tom Schiller,35,0.7714285714285715,0.42857142857142855,0.05714285714285714,1975.0,1990.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0771680/?ref_=fn_nm_nm_1,145.0,71.0,24.0,0.0466597642296181
