relationship,count
"('Dan Aykroyd', 'Harry Shearer')",25
"('Dan Aykroyd', 'Michael McKean')",28
"('Dan Aykroyd', 'Will Ferrell')",63
"('Harry Shearer', 'Michael McKean')",78
"('Harry Shearer', 'Morwenna Banks')",5
"('Harry Shearer', 'Pamela Stephenson')",8
"('Harry Shearer', 'Rob Schneider')",26
"('Harry Shearer', 'Robert Downey Jr.')",22
"('Harry Shearer', 'Will Ferrell')",37
"('Michael McKean', 'Morwenna Banks')",5
"('Michael McKean', 'Pamela Stephenson')",3
"('Michael McKean', 'Rob Schneider')",33
"('Michael McKean', 'Robert Downey Jr.')",23
"('Michael McKean', 'Will Ferrell')",46
"('Morwenna Banks', 'Robert Downey Jr.')",3
"('Morwenna Banks', 'Will Ferrell')",3
"('Pamela Stephenson', 'Robert Downey Jr.')",8
"('Pamela Stephenson', 'Will Ferrell')",8
"('Rob Schneider', 'Robert Downey Jr.')",31
"('Rob Schneider', 'Will Ferrell')",59
"('Robert Downey Jr.', 'Will Ferrell')",64
"('Al Franken', 'Michael Schur')",4
"('Colin Quinn', 'Julio Torres')",8
"('Brooks Wheelan', 'David Spade')",7
"('Brooks Wheelan', 'Rob Riggle')",8
"('David Spade', 'Rob Riggle')",43
"('Heather Anne Campbell', 'Katie Rich')",2
"('Heather Anne Campbell', 'Paul Brittain')",3
"('Katie Rich', 'Paul Brittain')",3
"('Al Franken', 'Chris Rock')",46
"('Al Franken', 'Harry Shearer')",33
"('Chris Rock', 'Harry Shearer')",35
"('Harry Shearer', 'Stephen Colbert')",23
"('Billy Crystal', 'Dan Aykroyd')",55
"('Billy Crystal', 'Harry Shearer')",40
"('Billy Crystal', 'Pamela Stephenson')",11
"('Billy Crystal', 'Robert Downey Jr.')",52
"('Greg Daniels', 'Taran Killam')",4
"('Cecily Strong', 'Jimmy Fallon')",31
"('Cecily Strong', 'Stephen Colbert')",19
"('Jimmy Fallon', 'Stephen Colbert')",78
"('David Koechner', 'J.B. Smoove')",27
"('Adam Sandler', 'Billy Crystal')",71
"('Adam Sandler', 'Dennis Miller')",37
"('Billy Crystal', 'Dennis Miller')",46
"('Billy Crystal', 'Will Ferrell')",65
"('Dennis Miller', 'Will Ferrell')",32
"('Adam Sandler', 'Al Franken')",36
"('Adam Sandler', 'Ben Stiller')",85
"('Al Franken', 'Ben Stiller')",32
"('Christopher Guest', 'Darrell Hammond')",18
"('Christopher Guest', 'Jimmy Fallon')",25
"('Christopher Guest', 'Rachel Dratch')",13
"('Darrell Hammond', 'Harry Shearer')",19
"('Darrell Hammond', 'Jimmy Fallon')",53
"('Darrell Hammond', 'Michael McKean')",24
"('Darrell Hammond', 'Rachel Dratch')",40
"('Harry Shearer', 'Jimmy Fallon')",29
"('Harry Shearer', 'Rachel Dratch')",14
