person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link
John Belushi,FALSE,1975,1979,4,1,0,4,4,0,0,0,0,1,0,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1
Rich Hall,FALSE,1984,1985,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1
Fred Armisen,FALSE,2002,2013,11,0,0,11,9,2,0,0,0,0,1,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_0
Morwenna Banks,FALSE,1995,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1
Vanessa Bayer,FALSE,2010,2017,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_0
Beck Bennett,FALSE,2013,2021,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_0
Jim Breuer,FALSE,1995,1998,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1
Paul Brittain,FALSE,2010,2012,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_0
Aidy Bryant,FALSE,2012,2022,10,0,0,10,9,1,0,0,0,0,0,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1
Beth Cahill,FALSE,1991,1992,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1
Dana Carvey,FALSE,1986,1993,7,0,0,7,7,0,0,0,0,1,4,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_0
Ellen Cleghorne,FALSE,1991,1995,4,0,0,4,2,0,2,0,0,0,0,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_0
George Coe,FALSE,1975,1975,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1
Joan Cusack,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1
Pete Davidson,FALSE,2014,2022,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1
Denny Dillon,FALSE,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_0
Robert Downey Jr.,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,1,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1
Rachel Dratch,FALSE,1999,2006,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_0
Nora Dunn,FALSE,1985,1990,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1
