index,imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end
3867,https://www.imdb.com/title/tt1411664/,0.5248700704853676,Bucky Larson: Born to Be a Star,"['20112011', 'RR', '1h 37m']",4,"['Kevin Nealon', 'Adam Sandler', 'Jimmy Fallon']",3,['Comedy'],"['Nick Swardson', 'Don Johnson', 'Christina Ricci', 'Stephen Dorff', 'Ido Mosseri', 'Kevin Nealon', 'Edward Herrmann', 'Miriam Flynn', 'Mario Joyner', 'Tyler Spindel', 'Meredith Giangrande', 'Nicholas Turturro', 'Mary Pat Gleason', 'Jackie Sandler', 'Dana Goodman', 'Curtis Armstrong', ""Mike O'Connell"", 'Brandon Hardesty']",0,"['Tom Brady', 'Adam Sandler', 'Allen Covert', 'Nick Swardson', 'Nick Swardson', 'Don Johnson', 'Christina Ricci', 'Tom Brady', 'Adam Sandler', 'Allen Covert', 'Nick Swardson', 'Nick Swardson', 'Don Johnson', 'Christina Ricci']","['Columbia Pictures', 'Happy Madison Productions', 'Miles Deep Producitons', '']",['Film'],2011.0,2011.0
3882,https://www.imdb.com/title/tt0205000/,0.5323383832976445,Deuce Bigalow: Male Gigolo,"['19991999', 'RR', '1h 28m']",5,"['Rob Schneider', 'Adam Sandler', 'Norm MacDonald']",3,"['Comedy', 'Romance']","['Rob Schneider', 'William Forsythe', 'Eddie Griffin', 'Arija Bareikis', 'Oded Fehr', ""Gail O'Grady"", 'Richard Riehle', 'Jacqueline Obradors', 'Big Boy', 'Amy Poehler', 'Dina Platias', 'Torsten Voges', 'Deborah Lemen', 'Bree Turner', 'Andrew Shaifer', 'Allen Covert', 'Elle King', 'Barry Cutler']",0,"['Mike Mitchell', 'Harris Goldberg', 'Rob Schneider', 'Rob Schneider', 'William Forsythe', 'Eddie Griffin', 'Mike Mitchell', 'Harris Goldberg', 'Rob Schneider', 'Rob Schneider', 'William Forsythe', 'Eddie Griffin']","['Touchstone Pictures', 'Happy Madison Productions', 'Out of the Blue... Entertainment', '']",['Film'],1999.0,1999.0
3888,https://www.imdb.com/title/tt14592064/,0.5379926837972876,Home Team,"['20222022', 'PGPG', '1h 35m']",3,"['Adam Sandler', 'Rob Schneider', 'Chloe Fineman']",3,"['Comedy', 'Sport']","['Kevin James', 'Taylor Lautner', 'Rob Schneider', 'Jackie Sandler', 'Gary Valentine', 'Lavell Crawford', 'Chloe Fineman', 'Tait Blum', 'Maxwell Simkins', 'Jacob Perez', 'Bryant Tardy', 'Manny Magnus', 'Liam Kyle', 'Christopher Farrar', 'Merek Mastrov', 'Isaiah Mustafa', 'Dana Goodman', 'Sunny Sandler']",0,"['Charles Kinnane', 'Daniel Kinnane', 'Chris Titone', 'Keith Blum', 'Kevin James', 'Taylor Lautner', 'Rob Schneider', 'Charles Kinnane', 'Daniel Kinnane', 'Chris Titone', 'Keith Blum', 'Kevin James', 'Taylor Lautner', 'Rob Schneider']","['Happy Madison Productions', 'Hey Eddie', '']",['Film'],2022.0,2022.0
3909,https://www.imdb.com/title/tt0255798/,0.5523761152748036,The Animal,"['20012001', 'PG-13PG-13', '1h 24m']",6,"['Rob Schneider', 'Adam Sandler', 'Norm MacDonald']",3,"['Comedy', 'Sci-Fi']","['Rob Schneider', 'Colleen Haskell', 'John C. McGinley', 'Edward Asner', 'Michael Caton', 'Louis Lombardi', 'Guy Torry', 'Bob Rubin', 'Pilar Schneider', 'Scott Wilson', 'Raymond Ma', 'Michael Papajohn', 'Ron Roggé', 'Holly Maples', 'Henriette Mantel', 'Jeremy Kramer', 'Robb Skyler', 'Nicko Mariolis']",0,"['Luke Greenfield', 'Tom Brady', 'Rob Schneider', 'Rob Schneider', 'Colleen Haskell', 'John C. McGinley', 'Luke Greenfield', 'Tom Brady', 'Rob Schneider', 'Rob Schneider', 'Colleen Haskell', 'John C. McGinley']","['Revolution Studios', 'Happy Madison Productions', '']",['Film'],2001.0,2001.0
3911,https://www.imdb.com/title/tt9619798/,0.5544053609666563,The Wrong Missy,"['20202020', 'TV-MATV-MA', '1h 30m']",3,"['Adam Sandler', 'Rob Schneider', 'David Spade']",3,"['Comedy', 'Romance']","['David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Geoff Pierson', 'Jackie Sandler', 'Molly Sims', 'Sarah Chalke', 'Chris Witaske', 'Rob Schneider', 'John Farley', 'Jorge Garcia', ""Joe Anoa'i"", 'Jonathan Loughran', 'Jared Sandler', 'Chris Titone', 'Arlene Newman-Van Asperen', 'Candace Smith', 'Camille Claire Hendricks']",0,"['Tyler Spindel', 'Chris Pappas', 'Kevin Barnett', 'David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Tyler Spindel', 'Chris Pappas', 'Kevin Barnett', 'David Spade', 'Lauren Lapkus', 'Nick Swardson']","['Happy Madison Productions', 'Netflix', 'QC Entertainment', '']",['Film'],2020.0,2020.0
3916,https://www.imdb.com/title/tt0389860/,0.5567716060594472,Click,"['20062006', 'PG-13PG-13', '1h 47m']",8,"['Rachel Dratch', 'Adam Sandler', 'Rob Schneider', 'Steve Koren', 'Tim Herlihy']",5,"['Comedy', 'Drama', 'Fantasy']","['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff', 'Henry Winkler', 'Julie Kavner', 'Sean Astin', 'Joseph Castanon', 'Jonah Hill', 'Jake Hoffman', 'Tatum McCann', 'Lorraine Nicholson', 'Katie Cassidy', 'Cameron Monaghan', 'Jennifer Coolidge', 'Rachel Dratch', 'Sophie Monk', 'Michelle Lombardo']",0,"['Frank Coraci', 'Steve Koren', ""Mark O'Keefe"", 'Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'Frank Coraci', 'Steve Koren', ""Mark O'Keefe"", 'Adam Sandler', 'Kate Beckinsale', 'Christopher Walken']","['Columbia Pictures', 'Revolution Studios', 'Happy Madison Productions', '']",['Film'],2006.0,2006.0
3941,https://www.imdb.com/title/tt0456554/,0.5744487398456883,Grandma's Boy,"['20062006', 'RR', '1h 34m']",4,"['Kevin Nealon', 'Adam Sandler', 'Rob Schneider', 'David Spade']",4,['Comedy'],"['Allen Covert', 'Linda Cardellini', 'Shirley Jones', 'Peter Dante', 'Shirley Knight', 'Joel David Moore', 'Kevin Nealon', 'Doris Roberts', 'Nick Swardson', 'Jonah Hill', 'Kelvin Yu', 'Chuck Church', 'Scott Halberstadt', 'Heidi Hawking', 'Shana Hiatt', 'Todd Holland', 'John Kirk', 'Geno Kirkland']",0,"['Nicholaus Goossen', 'Barry Wernick', 'Allen Covert', 'Nick Swardson', 'Allen Covert', 'Linda Cardellini', 'Shirley Jones', 'Nicholaus Goossen', 'Barry Wernick', 'Allen Covert', 'Nick Swardson', 'Allen Covert', 'Linda Cardellini', 'Shirley Jones']","['Twentieth Century Fox', 'Level 1 Entertainment', 'Happy Madison Productions', '']",['Film'],2006.0,2006.0
3982,https://www.imdb.com/title/tt0295427/,0.6059079452177014,The Master of Disguise,"['20022002', 'PGPG', '1h 20m']",4,"['Kevin Nealon', 'Adam Sandler', 'Dana Carvey']",3,"['Adventure', 'Comedy', 'Family']","['Dana Carvey', 'Jennifer Esposito', 'Harold Gould', 'James Brolin', 'Brent Spiner', 'Austin Wolff', 'Edie McClurg', 'Maria Canals-Barrera', 'Robert Machray', 'Michael Bailey Smith', 'Rachel Lederman', 'Vincent Riverside', 'Mark Devine', 'Kenan Thompson', 'Jay Johnston', 'Mark Ginther', ""Carrick O'Quinn"", 'Mitch Silpa']",0,"['Perry Andelin Blake', 'Dana Carvey', 'Harris Goldberg', 'Dana Carvey', 'Jennifer Esposito', 'Harold Gould', 'Perry Andelin Blake', 'Dana Carvey', 'Harris Goldberg', 'Dana Carvey', 'Jennifer Esposito', 'Harold Gould']","['Revolution Studios', 'Happy Madison Productions', 'Out of the Blue... Entertainment', '']",['Film'],2002.0,2002.0
4047,https://www.imdb.com/title/tt0343660/,0.674666636926005,50 First Dates,"['20042004', 'PG-13PG-13', '1h 39m']",4,"['Dan Aykroyd', 'Maya Rudolph', 'Rob Schneider', 'Adam Sandler']",4,"['Comedy', 'Drama', 'Romance']","['Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Sean Astin', 'Lusia Strus', 'Dan Aykroyd', 'Amy Hill', 'Allen Covert', 'Blake Clark', 'Maya Rudolph', ""Pomaika'i Brown"", 'Joe Nakashima', 'Peter Dante', 'Dom Magwili', 'Jonathan Loughran', 'J.D. Donaruma', 'Wayne Federman', 'Kent Avenido']",0,"['Peter Segal', 'George Wing', 'Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Peter Segal', 'George Wing', 'Adam Sandler', 'Drew Barrymore', 'Rob Schneider']","['Columbia Pictures', 'Happy Madison Productions', 'Anonymous Content', '']",['Film'],2004.0,2004.0
4050,https://www.imdb.com/title/tt0367652/,0.6780987930698851,Deuce Bigalow: European Gigolo,"['20052005', 'RR', '1h 23m']",6,"['Fred Armisen', 'Adam Sandler', 'Norm MacDonald', 'Rob Schneider']",4,['Comedy'],"['Rob Schneider', 'Eddie Griffin', 'Jeroen Krabbé', 'Til Schweiger', 'Douglas Sills', 'Carlos Ponce', 'Charles Keating', 'Hanna Verboom', 'Alex Dimitriades', 'Kostas Sommer', 'Federico Dordei', 'Oded Fehr', 'Tony Fish', 'Elisabetta Canalis', 'Hilton Myburgh', 'Wimie Wilhelm', 'Joop Kasteel', 'SuChin Pak']",0,"['Mike Bigelow', 'Harris Goldberg', 'Rob Schneider', 'David Garrett', 'Rob Schneider', 'Eddie Griffin', 'Jeroen Krabbé', 'Mike Bigelow', 'Harris Goldberg', 'Rob Schneider', 'David Garrett', 'Rob Schneider', 'Eddie Griffin', 'Jeroen Krabbé']","['Columbia Pictures', 'Happy Madison Productions', 'Out of the Blue... Entertainment', '']",['Film'],2005.0,2005.0
4060,https://www.imdb.com/title/tt1564367/,0.6875799103248244,Just Go with It,"['20112011', 'PG-13PG-13', '1h 57m']",6,"['Kevin Nealon', 'Rachel Dratch', 'Adam Sandler', 'Steve Koren', 'Tim Herlihy']",5,"['Comedy', 'Romance']","['Adam Sandler', 'Jennifer Aniston', 'Brooklyn Decker', 'Nicole Kidman', 'Nick Swardson', 'Bailee Madison', 'Griffin Gluck', 'Dave Matthews', 'Kevin Nealon', 'Rachel Dratch', 'Allen Covert', 'Dan Patrick', 'Minka Kelly', 'Jackie Sandler', 'Rakefet Abergel', 'Dana Goodman', 'Julia Lea Wolov', 'Colby Kline']",0,"['Dennis Dugan', 'Allan Loeb', 'Timothy Dowling', 'I.A.L. Diamond', 'Adam Sandler', 'Jennifer Aniston', 'Brooklyn Decker', 'Dennis Dugan', 'Allan Loeb', 'Timothy Dowling', 'I.A.L. Diamond', 'Adam Sandler', 'Jennifer Aniston', 'Brooklyn Decker']","['Columbia Pictures', 'Happy Madison Productions', '']",['Film'],2011.0,2011.0
4067,https://www.imdb.com/title/tt0305224/,0.7072709367175372,Anger Management,"['20032003', 'PG-13PG-13', '1h 46m']",6,"['Kevin Nealon', 'Adam Sandler', 'Nancy Carell', 'Tim Herlihy', 'Dan Vitale']",5,['Comedy'],"['Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Luis Guzmán', 'Allen Covert', 'Lynne Thigpen', 'Kurt Fuller', 'Jonathan Loughran', 'Krista Allen', 'January Jones', 'Woody Harrelson', 'John Turturro', 'Kevin Nealon', 'Conrad Goode', 'Gina Gallego', 'Nancy Carell', 'Marisa Chandler', 'Don Diamont']",0,"['Peter Segal', 'David Dorfman', 'Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Peter Segal', 'David Dorfman', 'Jack Nicholson', 'Adam Sandler', 'Marisa Tomei']","['Revolution Studios', 'Happy Madison Productions', 'Anger Management LLC', '']",['Film'],2003.0,2003.0
4095,https://www.imdb.com/title/tt0271263/,0.7479208501863747,Eight Crazy Nights,"['20022002', 'PG-13PG-13', '1h 16m']",6,"['Kevin Nealon', 'Adam Sandler', 'Jon Lovitz', 'Rob Schneider']",4,"['Animation', 'Comedy', 'Musical']","['Adam Sandler', 'Rob Schneider', 'Jackie Sandler', 'Austin Stout', 'Kevin Nealon', 'Norm Crosby', 'Jon Lovitz', 'Tyra Banks', 'Blake Clark', 'Peter Dante', 'Ellen Albertini Dow', 'Kevin P. Farley', 'Lari Friedman', 'Tom Kenny', 'Cole Sprouse', 'Dylan Sprouse', 'Carl Weathers', 'Jamie Alcroft']",0,"['Seth Kearsley', 'Brooks Arthur', 'Allen Covert', 'Brad Isaacs', 'Adam Sandler', 'Rob Schneider', 'Jackie Sandler', 'Seth Kearsley', 'Brooks Arthur', 'Allen Covert', 'Brad Isaacs', 'Adam Sandler', 'Rob Schneider', 'Jackie Sandler']","['Happy Madison Productions', 'Meatball Animation', '']",['Film'],2002.0,2002.0
4100,https://www.imdb.com/title/tt4126340/,0.7593765550117262,Joe Dirt 2: Beautiful Loser,"['Video', '20152015', 'Not RatedNot Rated', '1h 47m']",8,"['Dennis Miller', 'Fred Wolf', 'Adam Sandler', 'David Spade']",4,['Comedy'],"['David Spade', 'Brittany Daniel', 'Christopher Walken', 'Adam Beach', 'Patrick Warburton', 'Mark McGrath', 'Dennis Miller', 'Toby Bronson', 'Ron Flagge', 'Rhonda Johnson Dents', 'Tracy Weisert', 'Natalia Cigliuti', 'Scott L. Schwartz', 'Erica Ibsen', 'Jeff DeRouen', 'Dan Mott', 'Allison Gobuzzi', 'Lauren Gobuzzi']",0,"['Fred Wolf', 'David Spade', 'Fred Wolf', 'David Spade', 'Brittany Daniel', 'Christopher Walken', 'Fred Wolf', 'David Spade', 'Fred Wolf', 'David Spade', 'Brittany Daniel', 'Christopher Walken']","['Happy Madison Productions', 'Lifeboat Productions', '']",['Video'],2015.0,2015.0
4126,https://www.imdb.com/title/tt0398165/,0.798972375174195,The Longest Yard,"['20052005', 'PG-13PG-13', '1h 53m']",6,"['Tracy Morgan', 'Adam Sandler', 'Rob Schneider', 'Chris Rock', 'Tim Herlihy']",5,"['Comedy', 'Crime', 'Sport']","['Adam Sandler', 'Burt Reynolds', 'Chris Rock', 'Nelly', 'Michael Irvin', 'Walter Williamson', 'Bill Goldberg', 'Terry Crews', 'Bob Sapp', 'Nicholas Turturro', 'Dalip Singh', 'Lobo Sebastian', 'Joey Diaz', 'Steve Reevis', 'David Patrick Kelly', 'Tracy Morgan', 'Edward Bunker', 'William Fichtner']",0,"['Peter Segal', 'Albert S. Ruddy', 'Tracy Keenan Wynn', 'Sheldon Turner', 'Adam Sandler', 'Burt Reynolds', 'Chris Rock', 'Peter Segal', 'Albert S. Ruddy', 'Tracy Keenan Wynn', 'Sheldon Turner', 'Adam Sandler', 'Burt Reynolds', 'Chris Rock']","['Paramount Pictures', 'Columbia Pictures', 'Happy Madison Productions', '']",['Film'],2005.0,2005.0
4153,https://www.imdb.com/title/tt0762107/,0.8522830723016326,I Now Pronounce You Chuck & Larry,"['20072007', 'PG-13PG-13', '1h 55m']",7,"['Dan Aykroyd', 'Adam Sandler', 'Rachel Dratch', 'Rob Schneider', 'David Spade', 'Robert Smigel']",6,"['Comedy', 'Romance']","['Adam Sandler', 'Kevin James', 'Jessica Biel', 'Dan Aykroyd', 'Ving Rhames', 'Steve Buscemi', 'Nicholas Turturro', 'Allen Covert', 'Rachel Dratch', 'Richard Chamberlain', 'Nick Swardson', 'Blake Clark', 'Mary Pat Gleason', 'Matt Winston', 'Lance Bass', 'Dave Matthews', 'Dan Patrick', 'Rob Corddry']",0,"['Dennis Dugan', 'Barry Fanaro', 'Alexander Payne', 'Jim Taylor', 'Adam Sandler', 'Kevin James', 'Jessica Biel', 'Dennis Dugan', 'Barry Fanaro', 'Alexander Payne', 'Jim Taylor', 'Adam Sandler', 'Kevin James', 'Jessica Biel']","['Universal Pictures', 'Relativity Media', 'Happy Madison Productions', '']",['Film'],2007.0,2007.0
4158,https://www.imdb.com/title/tt0325258/,0.8674049307892319,Dickie Roberts: Former Child Star,"['20032003', 'PG-13PG-13', '1h 38m']",8,"['Fred Wolf', 'Adam Sandler', 'Rachel Dratch', 'Jon Lovitz', 'David Spade']",5,['Comedy'],"['David Spade', 'Mary McCormack', 'Alyssa Milano', 'Craig Bierko', 'Scott Terra', 'Jenna Boyd', 'John Farley', 'Bobby Slayton', 'Michael Buffer', 'Fred Wolf', 'Emmanuel Lewis', 'Joey Diaz', 'Kevin Grevioux', 'Brian Clark', 'Leif Garrett', 'Emily Harrison', 'Nancy M. Pimental', 'Alan Blumenfeld']",0,"['Sam Weisman', 'Fred Wolf', 'David Spade', 'David Spade', 'Mary McCormack', 'Alyssa Milano', 'Sam Weisman', 'Fred Wolf', 'David Spade', 'David Spade', 'Mary McCormack', 'Alyssa Milano']","['Paramount Pictures', 'Happy Madison Productions', '']",['Film'],2003.0,2003.0
4169,https://www.imdb.com/title/tt0960144/,0.889162739318936,You Don't Mess with the Zohan,"['20082008', 'PG-13PG-13', '1h 53m']",9,"['Kevin Nealon', 'Adam Sandler', 'Rob Schneider', 'Chris Rock', 'Robert Smigel']",5,"['Action', 'Comedy']","['Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan', 'Ido Mosseri', 'Rob Schneider', 'Dave Matthews', 'Michael Buffer', 'Charlotte Rae', 'Sayed Badreya', 'Daoud Heidami', 'Kevin Nealon', 'Robert Smigel', 'Dina Doron', 'Shelley Berman', 'Chris Rock', 'Mariah Carey']",0,"['Dennis Dugan', 'Adam Sandler', 'Robert Smigel', 'Judd Apatow', 'Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui', 'Dennis Dugan', 'Adam Sandler', 'Robert Smigel', 'Judd Apatow', 'Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui']","['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions', '']",['Film'],2008.0,2008.0
4173,https://www.imdb.com/title/tt0437863/,0.8952419062914242,The Benchwarmers,"['20062006', 'PG-13PG-13', '1h 25m']",5,"['Adam Sandler', 'Rob Schneider', 'Tim Meadows', 'Jon Lovitz', 'David Spade']",5,"['Comedy', 'Sport']","['David Spade', 'Jon Heder', 'Rob Schneider', 'Jon Lovitz', 'Craig Kilborn', 'Molly Sims', 'Tim Meadows', 'Nick Swardson', 'Erinn Bartlett', 'Amaury Nolasco', 'Bill Romanowski', 'Sean Salisbury', 'Matt Weinberg', 'John Farley', 'Reggie Jackson', 'Joe Gnoffo', 'Jackie Sandler', 'Ray Nicholson']",0,"['Dennis Dugan', 'Allen Covert', 'Nick Swardson', 'David Spade', 'Jon Heder', 'Rob Schneider', 'Dennis Dugan', 'Allen Covert', 'Nick Swardson', 'David Spade', 'Jon Heder', 'Rob Schneider']","['Revolution Studios', 'Happy Madison Productions', '']",['Film'],2006.0,2006.0
4180,https://www.imdb.com/title/tt6821012/,0.925447937155704,The Week Of,"['20182018', 'TV-14TV-14', '1h 56m']",9,"['Rachel Dratch', 'Adam Sandler', 'Chris Rock', 'Tim Herlihy', 'Robert Smigel']",5,['Comedy'],"['Adam Sandler', 'Chris Rock', 'Steve Buscemi', 'Rachel Dratch', 'Allison Strong', 'Roland Buck III', 'Katie Hartman', 'Chloe Himmelman', 'Jake Lippmann', 'Jim Barone', 'June Gable', 'Suzanne Shepherd', 'Christian Capozzoli', 'Nasser Faris', 'Jared Sandler', 'Andrew Polk', 'Liz Larsen', 'Jackie Sandler']",0,"['Robert Smigel', 'Adam Sandler', 'Robert Smigel', 'Adam Sandler', 'Chris Rock', 'Steve Buscemi', 'Robert Smigel', 'Adam Sandler', 'Robert Smigel', 'Adam Sandler', 'Chris Rock', 'Steve Buscemi']","['Happy Madison Productions', 'Netflix', '']",['Film'],2018.0,2018.0
4195,https://www.imdb.com/title/tt0245686/,0.9919320960004272,Joe Dirt,"['20012001', 'PG-13PG-13', '1h 31m']",7,"['Kevin Nealon', 'Dennis Miller', 'Fred Wolf', 'Adam Sandler', 'David Spade']",5,"['Adventure', 'Comedy', 'Drama']","['David Spade', 'Brittany Daniel', 'Dennis Miller', 'Adam Beach', 'Christopher Walken', 'Jaime Pressly', 'Kid Rock', 'Erik Per Sullivan', 'Megan Taylor Harvey', 'Caroline Aaron', 'Fred Ward', 'John Farley', 'Bob Zany', 'Bean Miller', 'Lee Walker', 'Que Kelly', 'Kathleen Randazzo', 'Liz Torres']",0,"['Dennie Gordon', 'David Spade', 'Fred Wolf', 'David Spade', 'Brittany Daniel', 'Dennis Miller', 'Dennie Gordon', 'David Spade', 'Fred Wolf', 'David Spade', 'Brittany Daniel', 'Dennis Miller']","['Columbia Pictures', 'Happy Madison Productions', 'Robert Simonds Productions', '']",['Film'],2001.0,2001.0
