person,num_credits,potential_percent,def_percent,snl_percent,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Christine Ebersole,131,0.549618320610687,0.030534351145038167,0.007633587786259542,False,1981.0,1982.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,https://www.imdb.com/name/nm0002056/?ref_=fn_nm_nm_0,0.0,18.0,2.0,0.0943716063480226
Gail Matthius,51,0.49019607843137253,0.058823529411764705,0,False,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,https://www.imdb.com/name/nm0560257/?ref_=fn_nm_nm_0,0.0,13.0,0.0,0.0936870499405746
Billy Crystal,427,0.6885245901639344,0.0585480093676815,0.02576112412177986,False,1984.0,1985.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,https://www.imdb.com/name/nm0000345/?ref_=fn_nm_nm_1,17.0,19.0,4.0,0.0961076413973107
Horatio Sanz,182,0.7967032967032966,0.22527472527472528,0.027472527472527472,False,1998.0,2006.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,https://www.imdb.com/name/nm0764445/?ref_=fn_nm_nm_0,0.0,159.0,2.0,0.1182963721423411
Joe Piscopo,143,0.5314685314685315,0.11188811188811189,0.006993006993006993,False,1980.0,1984.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,https://www.imdb.com/name/nm0685472/?ref_=fn_nm_nm_1,38.0,68.0,5.0,0.1077000069912143
Garrett Morris,183,0.5956284153005464,0.18032786885245902,0.01092896174863388,False,1975.0,1980.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0606541/?ref_=fn_nm_nm_0,1.0,99.0,11.0,0.1082107152012304
Fred Wolf,37,0.8918918918918919,0.2972972972972973,0.1891891891891892,False,1991.0,1996.0,5.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0937748/?ref_=fn_nm_nm_0,96.0,19.0,5.0,0.0834155344783388
James Downey (I),46,0.9347826086956522,0.717391304347826,0.10869565217391304,False,1976.0,2014.0,29.0,29.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0235999/?ref_=fn_al_nm_0,559.0,89.0,244.0,0.1655747863058985
Tom Davis (I),50,0.88,0.64,0.16,False,1975.0,2003.0,15.0,15.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0205569/?ref_=fn_nm_nm_1,279.0,156.0,158.0,0.0905478082542937
Al Franken,192,0.765625,0.19270833333333334,0.0625,False,1977.0,1995.0,15.0,15.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0291253/?ref_=fn_nm_nm_0,301.0,118.0,201.0,0.1349227626171999
Tom Schiller,36,0.75,0.4166666666666667,0.05555555555555555,False,1975.0,1990.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0771680/?ref_=fn_nm_nm_0,145.0,71.0,25.0,0.046687146485916
A. Whitney Brown,32,0.84375,0.40625,0.0625,False,1985.0,1991.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0112944/?ref_=fn_nm_nm_1,111.0,43.0,23.0,0.1108024748898883
Michael O'Donoghue,38,0.8947368421052632,0.6052631578947368,0.07894736842105263,False,1975.0,1982.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0640874/?ref_=fn_nm_nm_1,94.0,35.0,12.0,0.1624454102677635
Mikey Day,33,0.9090909090909091,0.3939393939393939,0.15151515151515152,True,2013.0,2023.0,10.0,4.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1510062/?ref_=fn_nm_nm_1,63.0,123.0,2.0,0.0957763044440819
Phil Hartman,176,0.75,0.2897727272727273,0.022727272727272728,False,1986.0,1994.0,8.0,3.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,https://www.imdb.com/name/nm0367005/?ref_=fn_nm_nm_0,0.0,152.0,15.0,0.118067045745846
Jim Belushi,276,0.5434782608695652,0.03985507246376811,0.007246376811594203,False,1983.0,1985.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0000902/?ref_=fn_nm_nm_1,33.0,33.0,2.0,0.1003149542075458
Andrew Dismukes,5,0.8,0.2,0,True,2017.0,2023.0,5.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm8608160/?ref_=fn_nm_nm_0,64.0,40.0,3.0,0.069150474237375
Robin Duke,68,0.6176470588235294,0.11764705882352941,0.029411764705882353,False,1981.0,1984.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0241208/?ref_=fn_nm_nm_1,39.0,59.0,2.0,0.1064404232015101
Leslie Jones,88,0.8409090909090909,0.13636363636363635,0.07954545454545454,False,2013.0,2019.0,6.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0428656/?ref_=fn_nm_nm_1,32.0,105.0,0.0,0.0967973635353794
Peter Aykroyd,21,0.8095238095238095,0.14285714285714285,0.047619047619047616,False,1979.0,1980.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0043839/?ref_=fn_nm_nm_1,20.0,16.0,0.0,0.0904888024049777
John Belushi,119,0.8823529411764706,0.35294117647058826,0.06722689075630252,False,1975.0,1979.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1,23.0,83.0,6.0,0.1076452424786185
Rich Hall,138,0.42028985507246375,0.043478260869565216,0.014492753623188406,False,1984.0,1985.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1,18.0,16.0,2.0,0.0953026030621519
Fred Armisen,334,0.7994011976047904,0.2125748502994012,0.11377245508982035,False,2002.0,2013.0,11.0,0.0,0.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_0,0.0,237.0,7.0,0.1308368483605602
Morwenna Banks,121,0.15702479338842976,0.01652892561983471,0,False,1995.0,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1,0.0,3.0,1.0,0.0914690871804432
Vanessa Bayer,93,0.9032258064516129,0.24731182795698925,0.08602150537634409,False,2010.0,2017.0,7.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_0,0.0,149.0,1.0,0.1148134178049584
Beck Bennett,78,0.8333333333333334,0.1794871794871795,0.05128205128205128,False,2013.0,2021.0,8.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_0,0.0,164.0,0.0,0.1179178124490224
