title,media_type,imdb_link,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies
Heart and Souls,"['19931993', 'PG-13PG-13', '1h 44m']",https://www.imdb.com/title/tt0107091/,2,"['Robert Downey Jr.', 'Marc Shaiman']",2,"['Comedy', 'Drama', 'Fantasy']","['Robert Downey Jr.', 'Charles Grodin', 'Alfre Woodard', 'Kyra Sedgwick', 'Tom Sizemore', 'David Paymer', 'Elisabeth Shue', 'Bill Calvert', 'Lisa Lucas', 'Shannon Orrock', 'Michael Zebulon', 'Chasiti Hampton', 'Wanya Green', 'Janet MacLachlan', 'Javar David Levingston', 'Robert William Newhart', ""Sean O'Bryan"", 'Steven Clawson']",0,"['Ron Underwood', 'Gregory Hansen', 'Erik Hansen', 'Brent Maddock', 'Robert Downey Jr.', 'Charles Grodin', 'Alfre Woodard', 'Ron Underwood', 'Gregory Hansen', 'Erik Hansen', 'Brent Maddock', 'Robert Downey Jr.', 'Charles Grodin', 'Alfre Woodard']","['Universal Pictures', 'Alphaville Films', 'Stampede Entertainment', '']"
The Pick-up Artist,"['19871987', 'PG-13PG-13', '1h 21m']",https://www.imdb.com/title/tt0093737/,2,"['Robert Downey Jr.', 'Victoria Jackson']",2,"['Comedy', 'Crime', 'Drama']","['Molly Ringwald', 'Robert Downey Jr.', 'Dennis Hopper', 'Danny Aiello', 'Mildred Dunnock', 'Harvey Keitel', 'Brian Hamill', 'Tamara Bruno', 'Vanessa Williams', 'Angie Kempf', 'Polly Draper', 'Frederick Koehler', 'Robert Towne', 'Victoria Jackson', 'Lorraine Bracco', 'Bob Gunton', 'Clem Caserta', 'John Butera']",0,"['James Toback', 'James Toback', 'Molly Ringwald', 'Robert Downey Jr.', 'Dennis Hopper', 'James Toback', 'James Toback', 'Molly Ringwald', 'Robert Downey Jr.', 'Dennis Hopper']","['Amercent Films', 'American Entertainment Partners L.P.', 'Twentieth Century Fox', '']"
Weird Science,"['19851985', 'PG-13PG-13', '1h 34m']",https://www.imdb.com/title/tt0090305/,2,"['Robert Downey Jr.', 'Anthony Michael Hall']",2,"['Comedy', 'Romance', 'Sci-Fi']","['Anthony Michael Hall', 'Ilan Mitchell-Smith', 'Kelly LeBrock', 'Bill Paxton', 'Suzanne Snyder', 'Judie Aronson', 'Robert Downey Jr.', 'Robert Rusler', 'Vernon Wells', 'Britt Leach', 'Barbara Lang', 'Michael Berryman', 'Ivor Barry', 'Ann Coyle', 'Suzy J. Kellems', 'John Kapelos', 'Fred D. Scott', 'Vince Townsend Jr.']",0,"['John Hughes', 'John Hughes', 'Al Feldstein', 'William M. Gaines', 'Anthony Michael Hall', 'Ilan Mitchell-Smith', 'Kelly LeBrock', 'John Hughes', 'John Hughes', 'Al Feldstein', 'William M. Gaines', 'Anthony Michael Hall', 'Ilan Mitchell-Smith', 'Kelly LeBrock']",
Nickelodeon Kids' Choice Awards 2021,"['TV Special', '20212021']",https://www.imdb.com/title/tt13971404/,2,"['Robert Downey Jr.', 'Kenan Thompson']",2,[],"['Millie Bobby Brown', 'Dove Cameron', 'Gal Gadot', 'Robert Downey Jr.', 'Finn Wolfhard', 'Anna Kendrick', 'Sofía Vergara', 'Jennifer Garner', 'Gaten Matarazzo', 'Noah Schnapp', 'Tiffany Haddish', 'Iain Armitage', 'Lin-Manuel Miranda', 'Tyler Perry', 'Miranda Cosgrove', 'Terry Crews', 'Anthony Anderson', 'Tom Kenny']",0,"['Glenn Weiss', 'Chris Valenziano', 'Millie Bobby Brown', 'Dove Cameron', 'Gal Gadot', 'Glenn Weiss', 'Chris Valenziano', 'Millie Bobby Brown', 'Dove Cameron', 'Gal Gadot']","['Dempsey Productions', 'GHS Productions', 'Nickelodeon Productions', '']"
MTV Movie & TV Awards: Greatest of All Time,"['TV Special', '20202020']",https://www.imdb.com/title/tt13471338/,3,"['Robert Downey Jr.', 'Adam Sandler', 'David Spade']",3,['Music'],"['Peyton List', 'Sarah Michelle Gellar', 'William Zabka', 'Adam Sandler', 'Xolo Maridueña', 'Jamie Lee Curtis', 'Gal Gadot', 'Lily Collins', 'Selma Blair', 'Kevin Bacon', 'Robert Downey Jr.', 'Kristen Bell', 'Jacob Bertrand', 'Kevin Hart', 'Neve Campbell', 'Drew Barrymore', 'Vanessa Hudgens', 'Sofia Carson']",0,"['Ryan Polito', 'Steven Murphy', 'Mason Steinberg', 'Peyton List', 'Sarah Michelle Gellar', 'William Zabka', 'Ryan Polito', 'Steven Murphy', 'Mason Steinberg', 'Peyton List', 'Sarah Michelle Gellar', 'William Zabka']",
Nickelodeon Kids' Choice Awards 2016,"['TV Special', '20162016', '1h 9m']",https://www.imdb.com/title/tt5544966/,3,"['Robert Downey Jr.', 'Adam Sandler', 'Jason Sudeikis']",3,"['Family', 'News']","['Blake Shelton', 'Brandon Alexander', 'Anthony Anderson', 'Ella Anderson', 'Brent Anthony', 'Will Arnett', 'Dan Babic', 'Cooper Barnes', 'Brec Bassinger', 'Chloe Bennet', 'Rosa Blasi', 'Ashley Bornancin', 'Maylah Chanel', 'Shanae Cole', 'Cameron Dallas', 'Avery F. Davis', 'Ellen DeGeneres', 'DNCE']",0,"['Joe DeMaio', 'Chris Valenziano', 'Blake Shelton', 'Brandon Alexander', 'Anthony Anderson', 'Joe DeMaio', 'Chris Valenziano', 'Blake Shelton', 'Brandon Alexander', 'Anthony Anderson']","['ROK Productions', 'Dempsey Productions', 'GHS Productions', '']"
BAFTA Britannia Awards Special 2014,"['TV Special', '20142014', '2h']",https://www.imdb.com/title/tt4312856/,2,"['Robert Downey Jr.', 'Julia Louis-Dreyfus']",2,[],"['Rob Brydon', 'Ben Barnes', 'Leila Birch', 'Judi Dench', 'Robert Downey Jr.', 'Jon Favreau', 'Jamie Foxx', 'Josh Gad', 'Dustin Hoffman', 'Armando Iannucci', 'Felicity Jones', 'Mike Leigh', 'Julia Louis-Dreyfus', 'Audra Marie', 'Gugu Mbatha-Raw', 'Eddie Redmayne', 'Mark Ruffalo', 'Jim Sheridan']",0,"['Alex Rudzinski', 'Rob Brydon', 'Ben Barnes', 'Leila Birch', 'Alex Rudzinski', 'Rob Brydon', 'Ben Barnes', 'Leila Birch']",
Stand Up to Cancer,"['TV Special', '20142014', '1h']",https://www.imdb.com/title/tt3978892/,4,"['Robert Downey Jr.', 'Ben Stiller', 'Rob Riggle', 'Will Ferrell']",4,['Comedy'],"['Kareem Abdul-Jabbar', 'Jennifer Aniston', 'Hank Azaria', 'Kevin Bacon', 'Halle Berry', 'Jordana Brewster', 'Pierce Brosnan', 'Steve Carell', 'Common', 'Dane Cook', 'Nikolaj Coster-Waldau', 'Katie Couric', 'Brittany Daniel', 'Amanda De Cadenet', 'Giada De Laurentiis', 'Robert Downey Jr.', 'Ben Falcone', 'Jesse Tyler Ferguson']",0,"['Kareem Abdul-Jabbar', 'Jennifer Aniston', 'Hank Azaria', 'Kareem Abdul-Jabbar', 'Jennifer Aniston', 'Hank Azaria']",
Marvel Studios: Assembling a Universe,"['TV Movie', '20142014', 'TV-PGTV-PG', '43m']",https://www.imdb.com/title/tt3591568/,2,"['Robert Downey Jr.', 'Bobby Moynihan']",2,"['Documentary', 'History']","['Axel Alonso', 'Victoria Alonso', 'Hayley Atwell', 'Jeffrey Bell', 'Shane Black', 'Geoff Boucher', 'Kenneth Branagh', 'Stephen Broussard', 'Dan Buckley', 'Dominic Cooper', ""Louis D'Esposito"", 'Vin Diesel', 'Robert Downey Jr.', 'Chris Evans', 'Jon Favreau', 'Kevin Feige', 'Alan Fine', 'Clark Gregg']",0,"['Axel Alonso', 'Victoria Alonso', 'Hayley Atwell', 'Axel Alonso', 'Victoria Alonso', 'Hayley Atwell']","['ABC Signature', 'Disney-ABC Domestic Television', 'Disney-ABC Television Group', '']"
The 39th Annual People's Choice Awards,"['TV Special', '20132013']",https://www.imdb.com/title/tt2615724/,3,"['Robert Downey Jr.', 'Casey Wilson', 'Adam Sandler']",3,['News'],"['Kaley Cuoco', 'Jensen Ackles', 'Christina Aguilera', 'Jason Aldean', 'Anthony Anderson', 'Jennifer Aniston', 'Matt Bomer', 'Sandra Bullock', 'Chris Colfer', 'Rachael Leigh Cook', 'Ellen DeGeneres', 'Robert Downey Jr.', 'Johnny Galecki', 'Linda Hunt', 'Mindy Kaling', 'Alicia Keys', 'LL Cool J', 'Jennifer Lawrence']",0,"['Alan Carter', 'Jeff Roe', 'Bruce Leddy', 'Rachel Bloom', 'Brent Bradshaw', 'Paul Greenberg', 'Kaley Cuoco', 'Jensen Ackles', 'Christina Aguilera', 'Alan Carter', 'Jeff Roe', 'Bruce Leddy', 'Rachel Bloom', 'Brent Bradshaw', 'Paul Greenberg', 'Kaley Cuoco', 'Jensen Ackles', 'Christina Aguilera']","['One Three Media', 'Syndrome Studio', 'Thank You, Brain! Productions', '']"
The American Cinematheque Tribute to Ben Stiller,"['TV Special', '20122012']",https://www.imdb.com/title/tt2518356/,4,"['Robert Downey Jr.', 'Ben Stiller', 'Martin Short', 'Will Ferrell']",4,[],"['Jennifer Aniston', 'Jack Black', 'David Cross', 'Tom Cruise', 'Laura Dern', 'Robert Downey Jr.', 'Will Ferrell', 'Eugene Levy', 'Patton Oswalt', 'Jay Roach', 'Martin Short', 'Ben Stiller', 'Christine Taylor', 'Justin Theroux', 'Owen Wilson', 'Rebecca Zagorin']",0,"['Leslie Wilson', 'Paul Flattery', 'David Wild', 'Jennifer Aniston', 'Jack Black', 'David Cross', 'Leslie Wilson', 'Paul Flattery', 'David Wild', 'Jennifer Aniston', 'Jack Black', 'David Cross']",
Janela Indiscreta,"['TV Series', '2010– 2010– ', '30m']",https://www.imdb.com/title/tt1612376/,7,"['Robert Downey Jr.', 'Adam Sandler', 'Eddie Murphy', 'Andy Samberg', 'Ben Stiller', 'Rob Schneider', 'David Spade']",7,['News'],"['Mário Augusto', 'Paulo Branco', 'Nicolau Breyner', 'Afonso Pimentel', 'Adriano Luz', 'Joana de Verona', 'Victoria Guerra', 'João Botelho', 'Joaquim de Almeida', 'Beatriz Batarda', 'Rita Blanco', 'Nuno Lopes', 'Rui Morisson', 'Paulo Trancoso', 'Diogo Morgado', 'Anabela Moreira', 'Albano Jerónimo', 'Ricardo Pereira']",306,"['Mário Augusto', 'Paulo Branco', 'Nicolau Breyner', 'Mário Augusto', 'Paulo Branco', 'Nicolau Breyner']",
Guys Choice,"['TV Special', '20102010']",https://www.imdb.com/title/tt1672620/,5,"['Robert Downey Jr.', 'Adam Sandler', 'Chris Rock', 'David Spade', 'Ray James']",5,[],"['Ben Affleck', 'Jessica Biel', 'Adrien Brody', 'Sandra Bullock', 'George Clooney', 'Bradley Cooper', 'Sharlto Copley', 'Randy Couture', 'Terry Crews', 'Robert De Niro', 'Brooklyn Decker', 'Leonardo DiCaprio', 'Robert Downey Jr.', 'Jonathan Dwyer', 'Amanda Fields', 'Galina', 'James Gandolfini', 'Joseph Gordon-Levitt']",0,"['David Feldman', 'Ray James', 'Tim Jennings', 'Ben Affleck', 'Jessica Biel', 'Adrien Brody', 'David Feldman', 'Ray James', 'Tim Jennings', 'Ben Affleck', 'Jessica Biel', 'Adrien Brody']",
The 52nd Annual Grammy Awards,"['TV Special', '20102010']",https://www.imdb.com/title/tt1580028/,4,"['Robert Downey Jr.', 'Stephen Colbert', 'Michael McKean', 'Andy Samberg']",4,['Music'],"['Lady A', 'Akon', 'Alice in Chains', 'Jasmine Alveran', 'Apl.de.Ap', 'India Arie', 'Simon Baker', 'Travis Barker', 'Jeff Beck', 'Kristen Bell', 'Dierks Bentley', 'Beyoncé', 'Anand Bhatt', 'Justin Bieber', 'The Black Eyed Peas', 'Mary J. Blige', 'Andrea Bocelli', 'Bon Jovi']",0,"['Louis J. Horvitz', 'Ken Ehrlich', 'David Wild', 'Lady A', 'Akon', 'Alice in Chains', 'Louis J. Horvitz', 'Ken Ehrlich', 'David Wild', 'Lady A', 'Akon', 'Alice in Chains']","['AEG Ehrlich Ventures', 'Cossette Productions', 'Italian Independent Productions', '']"
The Movie Loft,"['TV Series', '2001– 2001– ']",https://www.imdb.com/title/tt1297644/,6,"['Robert Downey Jr.', 'Stephen Colbert', 'Adam Sandler', 'Ben Stiller', 'Chris Rock', 'Will Ferrell']",6,"['Comedy', 'News', 'Talk-Show']","['Ray Ellin', 'Adam Sandler', 'Stanley Tucci', 'Russell Brand', 'Emma Watson', 'Teresa Palmer', 'Courteney Cox', 'Keri Russell', 'Guy Pearce', 'Matthew Broderick', 'Kevin Kline', 'Adam Shankman', 'Gary Ross', 'Matty Blake', 'Lee Camp', 'Chris Rock', 'Robert Downey Jr.', 'Brendan Fraser']",14,"['Ray Ellin', 'Adam Sandler', 'Stanley Tucci', 'Ray Ellin', 'Adam Sandler', 'Stanley Tucci']","['Hot Bagels Entertainment', 'Laundry Service Media', 'Movie Loft Productions', '']"
The Cast of 'Tropic Thunder',"['Video', '20082008', '22m']",https://www.imdb.com/title/tt5489226/,2,"['Robert Downey Jr.', 'Ben Stiller']",2,"['Documentary', 'Short']","['Jay Baruchel', 'Jack Black', 'Steve Coogan', 'Stuart Cornfeld', 'Robert Downey Jr.', 'Brandon T. Jackson', 'Danny McBride', 'Nick Nolte', 'Ben Stiller', 'Justin Theroux']",0,"['Jay Baruchel', 'Jack Black', 'Steve Coogan', 'Jay Baruchel', 'Jack Black', 'Steve Coogan']",
Tropic Thunder: Designing the Thunder,"['Video', '20082008', '8m']",https://www.imdb.com/title/tt5489220/,2,"['Robert Downey Jr.', 'Ben Stiller']",2,"['Documentary', 'Short']","['Stuart Cornfeld', 'Robert Downey Jr.', 'Jeff Mann', 'Danny McBride', 'Eric McLeod', 'Nick Nolte', 'Ben Stiller', 'Justin Theroux']",0,"['Stuart Cornfeld', 'Robert Downey Jr.', 'Jeff Mann', 'Stuart Cornfeld', 'Robert Downey Jr.', 'Jeff Mann']",
Eigo de shabera-night,"['TV Series', '2001– 2001– ', '43m']",https://www.imdb.com/title/tt0420393/,2,"['Robert Downey Jr.', 'Mike Myers']",2,['Reality-TV'],"['Patrick Harlan', 'Moe Oshikiri', 'Norito Yashima', 'Minoru Aoi', 'Jon Kabira', 'Yumiko Shaku', 'Marty Friedman', 'Rei Kikukawa', 'Chris Peppler', 'Kazuya Matsumoto', 'Robert Baldwin', 'Nae', 'Shizuka Kudô', 'Robert Campbell', 'Eriko Tamura', 'Jero', 'Audrey Tautou', 'Cameron Diaz']",152,"['Patrick Harlan', 'Moe Oshikiri', 'Norito Yashima', 'Patrick Harlan', 'Moe Oshikiri', 'Norito Yashima']",
The 79th Annual Academy Awards,"['TV Special', '20072007', 'TV-14TV-14', '3h 52m']",https://www.imdb.com/title/tt0833875/,4,"['Robert Downey Jr.', 'Carol Leifer', 'Eddie Murphy', 'Will Ferrell']",4,['News'],"['Ellen DeGeneres', 'Ben Affleck', 'Konstantine Anthony', 'Alan Arkin', 'Michael Arndt', 'Bub Asman', 'Adriana Barraza', 'Brandon Barton', 'Bob Beemer', 'Beyoncé', 'Jessica Biel', 'Jack Black', 'Cate Blanchett', 'Emily Blunt', 'Eric Bradley', 'Abigail Breslin', 'Henry Bumstead', 'Willie D. Burton']",0,"['Louis J. Horvitz', 'Joel Gallen', 'Errol Morris', 'Bruce Vilanch', 'Dave Boone', 'Billiam Coronel', 'Ellen DeGeneres', 'Ben Affleck', 'Konstantine Anthony', 'Louis J. Horvitz', 'Joel Gallen', 'Errol Morris', 'Bruce Vilanch', 'Dave Boone', 'Billiam Coronel', 'Ellen DeGeneres', 'Ben Affleck', 'Konstantine Anthony']","['A Very Good Production Inc.', 'Academy of Motion Picture Arts and Sciences (AMPAS)', 'Moxie Pictures', '']"
GMTV,"['TV Series', '1993–20101993–2010', '3h 25m']",https://www.imdb.com/title/tt0222560/,4,"['Robert Downey Jr.', 'Ben Stiller', 'Ian Maxtone-Graham', 'Mike Myers']",4,"['News', 'Talk-Show']","['Andrew Castle', 'Kate Garraway', 'Lorraine Kelly', 'Ben Shephard', 'Penny Smith', 'Emma Crosby', 'Fiona Phillips', 'Clare Nasir', 'John Stapleton', 'Kirsty McCabe', 'Kelly Beckett', 'Will Young', 'Richard Arnold', 'Emma Bunton', 'Priya Kaur-Jones', 'Natasha Vale', 'Helen Fospero', 'Annabel Croft']",836,"['Gary Wicks', 'Andrew Castle', 'Kate Garraway', 'Lorraine Kelly', 'Gary Wicks', 'Andrew Castle', 'Kate Garraway', 'Lorraine Kelly']","['EMG Management', 'GMTV', '']"
