person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor
John Belushi,False,1975,1979,4,1,0,4,4,0,0,0,0,1,0,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1,23,83
Rich Hall,False,1984,1985,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1,18,16
Fred Armisen,False,2002,2013,11,0,0,11,9,2,0,0,0,0,1,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_0,0,237
Morwenna Banks,False,1995,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1,0,3
Vanessa Bayer,False,2010,2017,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_0,0,149
Beck Bennett,False,2013,2021,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_0,0,164
Jim Breuer,False,1995,1998,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1,0,57
Paul Brittain,False,2010,2012,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_0,0,34
Aidy Bryant,False,2012,2022,10,0,0,10,9,1,0,0,0,0,0,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1,0,203
Beth Cahill,False,1991,1992,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1,0,13
Dana Carvey,False,1986,1993,7,0,0,7,7,0,0,0,0,1,4,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_0,0,130
Ellen Cleghorne,False,1991,1995,4,0,0,4,2,0,2,0,0,0,0,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_0,0,77
George Coe,False,1975,1975,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1,0,10
Joan Cusack,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1,0,17
Pete Davidson,False,2014,2022,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1,0,160
Denny Dillon,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_0,0,13
Robert Downey Jr.,False,1985,1986,1,0,0,1,1,0,0,0,0,0,1,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1,0,16
Rachel Dratch,False,1999,2006,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_0,0,145
Nora Dunn,False,1985,1990,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1,0,88
Dean Edwards,False,2001,2003,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1,0,40
Abby Elliott,False,2008,2012,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_0,0,81
Chris Elliott,False,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_0,0,19
Siobhan Fallon Hogan,False,1991,1992,1,0,0,1,0,0,1,0,0,0,0,https://www.imdb.com/name/nm0266441/?ref_=fn_nm_nm_0,0,20
Chris Farley,False,1990,1995,5,0,0,5,5,0,1,0,0,1,1,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_0,0,96
Will Ferrell,False,1995,2002,7,0,0,7,7,0,0,0,0,1,5,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1,0,140
Chloe Fineman,True,2019,2023,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0,55
Will Forte,False,2002,2010,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0,156
Heidi Gardner,True,2017,2023,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0,99
Janeane Garofalo,False,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0,14
Ana Gasteyer,False,1996,2002,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0,121
Gilbert Gottfried,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0,13
Bill Hader,False,2005,2013,8,0,0,8,7,1,0,0,0,0,2,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4,161
Anthony Michael Hall,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0,12
Darrell Hammond,False,1995,2009,14,0,0,14,14,0,0,0,0,0,0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0,313
Lauren Holt,False,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0,20
Jan Hooks,False,1986,1991,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_0,0,100
Yvonne Hudson,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0,31
Melanie Hutsell,False,1991,1994,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_0,0,53
Victoria Jackson,False,1986,1992,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0,109
Punkie Johnson,True,2020,2023,3,0,0,3,0,3,0,0,0,0,0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_0,0,40
Chris Kattan,False,1996,2003,8,0,0,8,7,1,0,0,0,1,0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_0,0,148
Taran Killam,False,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0,128
David Koechner,False,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_0,0,21
Gary Kroeger,False,1982,1985,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0,56
Matthew Laurance,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0,9
Julia Louis-Dreyfus,False,1982,1985,3,0,0,3,3,0,0,0,0,0,3,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_0,0,57
Jon Lovitz,False,1985,1990,5,0,0,5,5,0,0,0,0,1,1,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_0,0,91
Michael McKean,False,1994,1995,2,0,0,2,2,0,0,0,0,0,1,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_0,0,27
Mark McKinney,False,1985,1997,4,1,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0,70
Kate McKinnon,False,2012,2022,11,0,0,11,9,2,0,0,0,0,0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0,207
Tim Meadows,False,1991,2000,10,1,0,10,10,0,0,0,0,1,0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20,182
Laurie Metcalf,False,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_0,0,1
John Milhiser,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1,0,21
Jerry Minor,False,2000,2001,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_0,20,20
Finesse Mitchell,False,2003,2006,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_0,0,59
Alex Moffat,False,2016,2022,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1,0,120
Jay Mohr,False,1993,1995,2,1,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_0,20,39
Kyle Mooney,False,2013,2022,9,0,0,9,7,2,0,0,0,0,0,https://www.imdb.com/name/nm3324982/?ref_=fn_nm_nm_1,0,182
Tracy Morgan,False,1996,2003,7,0,0,7,7,0,0,0,0,1,2,https://www.imdb.com/name/nm0605079/?ref_=fn_nm_nm_1,0,142
Bobby Moynihan,False,2008,2017,9,0,0,9,7,2,0,0,0,0,0,https://www.imdb.com/name/nm1293885/?ref_=fn_nm_nm_1,0,193
Eddie Murphy,False,1980,1984,4,2,0,4,3,1,0,0,0,1,3,https://www.imdb.com/name/nm0000552/?ref_=fn_nm_nm_1,39,66
Mike Myers,False,1989,1995,7,2,0,7,7,1,0,0,0,1,1,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_0,32,118
Laraine Newman,False,1975,1980,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0628170/?ref_=fn_nm_nm_0,0,104
Don Novello,False,1977,1986,4,4,0,2,0,2,0,0,0,0,1,https://www.imdb.com/name/nm0637038/?ref_=fn_nm_nm_1,71,39
Luke Null,False,2017,2018,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3760937/?ref_=fn_nm_nm_0,0,21
Ego Nwodim,True,2018,2023,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm4945455/?ref_=fn_nm_nm_0,0,78
Michael Patrick O'Brien (II),False,2009,2015,6,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3653190/?ref_=fn_nm_nm_1,103,44
Cheri Oteri,False,1995,2000,5,0,0,5,5,0,0,0,0,1,0,https://www.imdb.com/name/nm0652783/?ref_=fn_nm_nm_1,0,98
Chris Parnell,False,1998,2006,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0663177/?ref_=fn_nm_nm_0,0,148
Nasim Pedrad,False,2009,2014,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm1840659/?ref_=fn_nm_nm_1,0,109
Jay Pharoah,False,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm3982894/?ref_=fn_nm_nm_1,0,128
Emily Prager,False,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0695104/?ref_=fn_nm_nm_0,0,4
Randy Quaid,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001642/?ref_=fn_nm_nm_0,0,18
Gilda Radner,False,1975,1980,5,0,0,5,5,0,0,0,0,1,0,https://www.imdb.com/name/nm0705717/?ref_=fn_nm_nm_0,3,107
Chris Redd,False,2017,2022,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm5412083/?ref_=fn_nm_nm_1,0,100
Jeff Richards (III),False,2001,2004,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0724145/?ref_=fn_al_nm_2,0,50
Rob Riggle,False,2004,2005,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1443527/?ref_=fn_nm_nm_0,0,21
Ann Risley,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0728315/?ref_=fn_nm_nm_0,0,12
Chris Rock,False,1990,1993,3,0,0,3,2,0,1,0,0,1,3,https://www.imdb.com/name/nm0001674/?ref_=fn_nm_nm_0,0,57
Jon Rudnitsky,False,2015,2016,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4339544/?ref_=fn_nm_nm_0,0,21
Maya Rudolph,False,2000,2007,9,0,0,9,7,2,0,0,0,0,2,https://www.imdb.com/name/nm0748973/?ref_=fn_nm_nm_1,0,162
Andy Samberg,False,2005,2012,7,0,0,7,6,1,0,0,0,0,1,https://www.imdb.com/name/nm1676221/?ref_=fn_nm_nm_1,17,140
Paul Shaffer,False,1979,1980,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0787238/?ref_=fn_nm_nm_1,0,27
Molly Shannon,False,1995,2001,7,0,0,7,6,1,0,0,0,1,1,https://www.imdb.com/name/nm0788340/?ref_=fn_nm_nm_1,0,117
Jenny Slate,False,2009,2010,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2809577/?ref_=fn_nm_nm_1,0,22
Pamela Stephenson,False,1984,1985,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0827298/?ref_=fn_nm_nm_1,0,18
Ben Stiller,False,1989,1990,1,1,0,1,0,1,0,0,0,0,2,https://www.imdb.com/name/nm0001774/?ref_=fn_nm_nm_0,0,13
Julia Sweeney,False,1990,1994,4,0,0,4,3,0,1,0,0,0,0,https://www.imdb.com/name/nm0842140/?ref_=fn_nm_nm_0,0,78
Kenan Thompson,False,2003,2023,20,0,0,20,18,2,0,0,0,0,0,https://www.imdb.com/name/nm0860380/?ref_=fn_nm_nm_0,0,383
Danitra Vance,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0888503/?ref_=fn_nm_nm_0,0,17
Melissa Villaseñor,False,2016,2022,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm3830257/?ref_=fn_nm_nm_1,0,120
Dan Vitale,False,1985,1986,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0899865/?ref_=fn_nm_nm_0,0,4
Nancy Carell,False,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0909391/?ref_=fn_nm_nm_0,0,17
Michaela Watkins,False,2008,2009,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1143861/?ref_=fn_nm_nm_1,0,15
Damon Wayans,False,1985,1986,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0001834/?ref_=fn_nm_nm_1,0,11
Patrick Weathers,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0915778/?ref_=fn_nm_nm_0,0,10
Noël Wells,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3644706/?ref_=fn_nm_nm_1,0,21
Brooks Wheelan,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm5120390/?ref_=fn_nm_nm_1,0,21
Kristen Wiig,False,2005,2012,7,0,0,7,6,1,0,0,0,0,4,https://www.imdb.com/name/nm1325419/?ref_=fn_nm_nm_1,0,139
Casey Wilson,False,2008,2009,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm1988111/?ref_=fn_nm_nm_1,0,30
Sasheer Zamata,False,2014,2017,4,0,0,4,3,1,0,0,0,0,0,https://www.imdb.com/name/nm3550886/?ref_=fn_nm_nm_1,0,74
Alan Zweibel,False,1980,1980,1,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1,110,52
Tim Kazurinsky,False,1981,1984,4,3,0,4,4,0,0,0,0,0,0,https://www.imdb.com/name/nm0443730/?ref_=fn_nm_nm_0,60,57
Laura Kightlinger,False,1994,1995,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_0,20,19
Tim Robinson,False,2012,2016,4,3,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_0,68,21
Tony Rosato,False,1981,1982,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0711014/?ref_=fn_nm_nm_1,21,20
Adam Sandler,False,1990,1995,6,3,0,6,2,3,1,0,0,1,1,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1,60,87
Rob Schneider,False,1989,1994,5,3,0,5,2,2,1,0,0,0,0,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1,56,80
Harry Shearer,False,1979,1985,2,2,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_0,31,38
Martin Short,False,1984,1985,1,1,0,1,1,0,0,0,0,0,3,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1,17,25
Sarah Silverman,False,1993,1994,1,1,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1,20,18
Robert Smigel,False,1985,2008,23,23,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_0,425,114
David Spade,False,1989,1996,7,3,0,7,3,3,1,0,0,1,2,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1,57,77
Jason Sudeikis,False,2003,2013,10,2,0,9,8,1,0,0,0,0,0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_0,37,177
Terry Sweeney,False,1980,1986,3,2,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0842202/?ref_=fn_nm_nm_1,31,18
Bowen Yang,True,2019,2023,5,1,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm6299248/?ref_=fn_nm_nm_1,0,59
Anne Beatts,False,1975,1980,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0064186/?ref_=fn_nm_nm_0,108,41
Lorne Michaels,True,1975,2023,43,43,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0584427/?ref_=fn_nm_nm_1,833,6
Marilyn Suzanne Miller,False,1975,1995,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0588897/?ref_=fn_nm_nm_0,137,21
Herbert Sargent,False,1975,1995,17,17,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0765109/?ref_=fn_nm_nm_0,319,0
Rosie Shuster,False,1975,1988,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0776874/?ref_=fn_nm_nm_1,161,44
Bruce McCall (I),False,1976,1977,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0564620/?ref_=fn_al_nm_0,7,0
Neil Levy,False,1977,1978,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0506561/?ref_=fn_nm_nm_1,16,53
Brian McConnachie,False,1978,1979,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0566234/?ref_=fn_nm_nm_1,23,3
Walter Williams,False,1978,1979,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0931906/?ref_=fn_nm_nm_1,23,25
Tom Gammill,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0303991/?ref_=fn_nm_nm_1,20,12
Matt Neuman,False,1979,1981,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1238470/?ref_=fn_nm_nm_0,21,1
Sarah Paley,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1238548/?ref_=fn_nm_nm_0,20,10
Max Pross,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0698795/?ref_=fn_nm_nm_0,20,14
Larry Arnstein,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0036784/?ref_=fn_nm_nm_1,12,0
Barry W. Blaustein,False,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0087904/?ref_=fn_nm_nm_1,56,1
Billy Brown (X),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0113126/?ref_=fn_nm_nm_1,13,0
Ferris Butler,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953521/?ref_=fn_nm_nm_1,12,0
John DeBellis,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0213377/?ref_=fn_nm_nm_0,12,0
Jean Doumanian,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235389/?ref_=fn_nm_nm_1,13,0
Nancy Dowd,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235683/?ref_=fn_nm_nm_0,2,0
Leslie Fuller (III),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1392887/?ref_=fn_al_nm_2,10,0
Mel Green (II),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0338154/?ref_=ttfc_fc_wr638,13,0
David Hurwitz,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0403791/?ref_=fn_nm_nm_2,12,0
