person,year_start,year_end,head_writer,imdb_link
Mary Gross,,,,https://www.imdb.com/name/nm0343444/?ref_=fn_nm_nm_1
Kevin Kelton,,,,https://www.imdb.com/name/nm0447124/?ref_=fn_nm_nm_1
Michael McCarthy,,,,https://www.imdb.com/name/nm0565251/?ref_=fn_nm_nm_2
Billy Crystal,,,,https://www.imdb.com/name/nm0000345/?ref_=fn_nm_nm_1
Larry David,,,,https://www.imdb.com/name/nm0202970/?ref_=fn_nm_nm_1
Christopher Guest,,,,https://www.imdb.com/name/nm0001302/?ref_=fn_nm_nm_1
Rich Hall,,,,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1
Rob Riley,,,,https://www.imdb.com/name/nm1583934/?ref_=fn_nm_nm_2
Martin Short,,,,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1
Jim Downey,,,y,https://www.imdb.com/name/nm9978675/?ref_=fn_nm_nm_2
A. Whitney Brown,,,,https://www.imdb.com/name/nm0112944/?ref_=fn_nm_nm_1
Jack Handey,,,,https://www.imdb.com/name/nm0359532/?ref_=fn_nm_nm_1
Lanier Laney,,,,https://www.imdb.com/name/nm0485640/?ref_=fn_nm_nm_1
Carol Leifer,,,,https://www.imdb.com/name/nm0500140/?ref_=fn_nm_nm_1
George Meyer,,,,https://www.imdb.com/name/nm0583127/?ref_=fn_nm_nm_1
Mark McKinney,,,,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1
Bruce McCulloch,,,,https://www.imdb.com/name/nm0567126/?ref_=fn_nm_nm_1
R. D. Rosen,,,,
Suzy Schneider,,,,https://www.imdb.com/name/nm2954512/?ref_=fn_nm_nm_2
Robert Smigel,,,,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_1
John Swartzwelder,,,,https://www.imdb.com/name/nm0841990/?ref_=fn_nm_nm_1
E. Jean Carroll,,,,https://www.imdb.com/name/nm0140800/?ref_=fn_nm_nm_1
Phil Hartman,,,,https://www.imdb.com/name/nm0367005/?ref_=fn_nm_nm_1
Kevin Nealon,,,,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_1
Marc Shaiman,,,,https://www.imdb.com/name/nm0003299/?ref_=fn_nm_nm_1
Bonnie Turner,,,,https://www.imdb.com/name/nm0877425/?ref_=fn_nm_nm_1
Terry Turner,,,,https://www.imdb.com/name/nm0877901/?ref_=fn_nm_nm_1
Jon Vitti,,,,https://www.imdb.com/name/nm0900140/?ref_=fn_nm_nm_1
Christine Zander,,,,https://www.imdb.com/name/nm0952863/?ref_=fn_nm_nm_1
Greg Daniels,,,,https://www.imdb.com/name/nm0199948/?ref_=fn_nm_nm_1
Conan O'Brien,,,,https://www.imdb.com/name/nm0005277/?ref_=fn_nm_nm_1
Bob Odenkirk,,,,https://www.imdb.com/name/nm0644022/?ref_=fn_nm_nm_1
John Bowman,,,,https://www.imdb.com/name/nm0101337/?ref_=fn_nm_nm_1
Shannon Gaughan,,,,https://www.imdb.com/name/nm0969183/?ref_=fn_nm_nm_1
Mike Myers,,,,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_1
Tom Hymes,,,,https://www.imdb.com/name/nm1631821/?ref_=fn_nm_nm_1
Rob Schneider,,,,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1
David Spade,,,,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1
Ben Stiller,,,,https://www.imdb.com/name/nm0001774/?ref_=fn_nm_nm_1
Daniel McGrath,,,,https://www.imdb.com/name/nm7272469/?ref_=fn_nm_nm_2
Andrew Robin,,,,https://www.imdb.com/name/nm8470145/?ref_=fn_nm_nm_2
Adam Sandler,,,,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1
Warren Hutcherson,,,,https://www.imdb.com/name/nm0404209/?ref_=fn_nm_nm_1
Steven Koren,,,,
Ian Maxtone-Graham,,,,https://www.imdb.com/name/nm0561631/?ref_=fn_nm_nm_1
Fred Wolf,,,y,https://www.imdb.com/name/nm0937748/?ref_=fn_nm_nm_1
