imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end
https://www.imdb.com/title/tt9287050/,1.0900917711838476,Alien News Desk,"['TV Series', '20192019', 'TV-MATV-MA', '30m']",7,"['Will Forte', 'Lorne Michaels', 'Dennis McNicholas', 'Heidi Gardner', 'Erik Kenward', 'Josh Patten']",6,Animation|Comedy|Sci-Fi,"['Will Forte', 'Heidi Gardner', 'Elise Dubois', 'Ben Rodgers', 'Scott Gairdner', 'Todd Tetreault', 'Mark Holmberg']",12,"['Chris Prynoski', 'Austin Reading', 'Will Forte', 'Heidi Gardner', 'Elise Dubois', 'Chris Prynoski', 'Austin Reading', 'Will Forte', 'Heidi Gardner', 'Elise Dubois']","['Bento Box Entertainment', 'Broadway Video', '']",['TV Series'],2019.0,2019.0
https://www.imdb.com/title/tt2056782/,1.0926423090649535,When Pop Culture Saved America: A 9-11 Story,"['TV Movie', '20112011', '2h']",2,"['Lorne Michaels', 'Gilbert Gottfried']",2,Documentary,"['Danny Aiello', 'Lance Bass', 'Richard Belzer', 'Barry Bostwick', 'Kristin Chenoweth', 'Billy Ray Cyrus', 'Ted Danson', 'Tony Danza', 'Peri Gilpin', 'Rudy Giuliani', 'Bob Goen', 'Gilbert Gottfried', 'Patricia Heaton', 'Alan Jackson', 'Yvonne Jung', 'Alan Kalter', 'Richard Kind', 'Denis Leary']",0,"['David P. Levin', 'David P. Levin', 'Emmett Williams', 'Danny Aiello', 'Lance Bass', 'Richard Belzer', 'David P. Levin', 'David P. Levin', 'Emmett Williams', 'Danny Aiello', 'Lance Bass', 'Richard Belzer']",,['TV Movie'],2011.0,2011.0
https://www.imdb.com/title/tt8169446/,1.094014333784905,Wine Country,"['20192019', 'RR', '1h 43m']",14,"['Rachel Dratch', 'Emily Spivey', 'Liz Cackowski', 'Tina Fey', 'Ana Gasteyer', 'Paula Pell', 'Maya Rudolph', 'Amy Poehler']",8,Adventure|Comedy|Drama,"['Amy Poehler', 'Rachel Dratch', 'Ana Gasteyer', 'Maya Rudolph', 'Paula Pell', 'Emily Spivey', 'Jay Larson', 'Tina Fey', 'Maya Erskine', 'Rachel Hamilton', 'Brené Brown', 'Jon Glaser', 'Jason Schwartzman', 'Cherry Jones', 'Craig Cackowski', 'Liz Cackowski', 'David Schwartz', 'Jeff Babko']",0,"['Amy Poehler', 'Liz Cackowski', 'Emily Spivey', 'Amy Poehler', 'Rachel Dratch', 'Ana Gasteyer', 'Amy Poehler', 'Liz Cackowski', 'Emily Spivey', 'Amy Poehler', 'Rachel Dratch', 'Ana Gasteyer']","['Dunshire Productions', 'Paper Kite Productions', 'Paper Pictures', '']",['Film'],2019.0,2019.0
https://www.imdb.com/title/tt7643706/,1.0962557994289792,Beyond Famous,"['TV Movie', '20172017']",2,"['Lorne Michaels', 'Martin Short']",2,Documentary,"['David Foster', 'Rick Hanson', 'Howie Mandel', 'Lorne Michaels', ""Catherine O'Hara"", 'Jason Priestley', 'Robbie Robertson', 'William Shatner', 'Martin Short', 'Shania Twain']",0,"['Barry Avrich', 'David Kitching', 'David Foster', 'Rick Hanson', 'Howie Mandel', 'Barry Avrich', 'David Kitching', 'David Foster', 'Rick Hanson', 'Howie Mandel']",,['TV Movie'],2017.0,2017.0
https://www.imdb.com/title/tt0285470/,1.0962557994289792,The Canadian Conspiracy,"['TV Movie', '19851985', '1h 10m']",2,"['Lorne Michaels', 'Martin Short']",2,Comedy,"['Gratien Gélinas', 'Deborah Cass', 'Keith Knight', 'Christopher Tate', 'Alan Wilbee', 'Mickey Costello', 'Michael Kohut', 'George Buza', 'Bruce Vavrina', 'Michael Copeman', 'Bernard Behrens', 'Linda Sorensen', 'Damir Andrei', 'John Candy', 'Tommy Chong', 'Susan Clark', 'Lorne Greene', 'Monty Hall']",0,"['Robert Boyd', 'Robert Boyd', 'Mark Achbar', 'Michael Short', 'Gratien Gélinas', 'Deborah Cass', 'Keith Knight', 'Robert Boyd', 'Robert Boyd', 'Mark Achbar', 'Michael Short', 'Gratien Gélinas', 'Deborah Cass', 'Keith Knight']","['Shtick Productions', 'Canadian Broadcasting Corporation (CBC)', '']",['TV Movie'],1985.0,1985.0
https://www.imdb.com/title/tt9168816/,1.099962569253254,The Oscars,"['TV Special', '20192019', 'TV-14TV-14', '2h 36m']",9,"['Marc Shaiman', 'Dana Carvey', 'Adam McKay', 'John Mulaney', 'Tina Fey', 'Mike Myers', 'Maya Rudolph', 'Amy Poehler', 'Carol Leifer']",9,Comedy|Family|Music,"['Queen', 'Adam Lambert', 'Tina Fey', 'Maya Rudolph', 'Amy Poehler', 'Amy Adams', 'Marina de Tavira', 'Regina King', 'Emma Stone', 'Rachel Weisz', 'Jason Momoa', 'Helen Mirren', 'Elizabeth Chai Vasarhelyi', 'Jimmy Chin', 'Evan Hayes', 'Shannon Dill', 'RaMell Ross', 'Joslyn Barnes']",0,"['Glenn Weiss', 'Jon Macks', 'Mitchell Marchand', 'Mike Reiss', 'Queen', 'Adam Lambert', 'Tina Fey', 'Glenn Weiss', 'Jon Macks', 'Mitchell Marchand', 'Mike Reiss', 'Queen', 'Adam Lambert', 'Tina Fey']","['Academy of Motion Picture Arts and Sciences (AMPAS)', 'Tempesta Films', '']",['TV Special'],2019.0,2019.0
https://www.imdb.com/title/tt2115291/,1.100557974026925,Betty White's 90th Birthday: A Tribute to America's Golden Girl,"['TV Movie', '20122012', '1h 30m']",7,"['Molly Shannon', 'Tracy Morgan', 'Seth Meyers', 'Tina Fey', 'Ana Gasteyer', 'Chevy Chase', 'Amy Poehler']",7,Documentary|Comedy,"['Jennifer Love Hewitt', 'Hugh Jackman', 'Joel McHale', 'Zachary Levi', 'Morgan Freeman', 'Wendie Malick', 'Amy Poehler', 'Molly Shannon', 'William Shatner', 'Chevy Chase', 'Tina Fey', 'Betty White', 'Edward Asner', 'Jane Leeves', 'Carol Burnett', 'Mary Tyler Moore', 'Bea Arthur', 'Rue McClanahan']",0,"['Gary Halvorson', 'Brad Lachman', 'Jon Macks', 'Steve Ridgeway', 'Jennifer Love Hewitt', 'Hugh Jackman', 'Joel McHale', 'Gary Halvorson', 'Brad Lachman', 'Jon Macks', 'Steve Ridgeway', 'Jennifer Love Hewitt', 'Hugh Jackman', 'Joel McHale']","['Brad Lachman Productions', 'Syndrome Studio', '']",['TV Movie'],2012.0,2012.0
https://www.imdb.com/title/tt2784678/,1.100691648822269,Top Five,"['20142014', 'RR', '1h 42m']",10,"['Jay Pharoah', 'Leslie Jones', 'Tracy Morgan', 'Dean Edwards', 'Adam Sandler', 'Michael Che', 'Chris Rock', 'J.B. Smoove']",8,Comedy|Romance,"['Chris Rock', 'Rosario Dawson', 'Gabrielle Union', 'Kevin Hart', 'J.B. Smoove', 'Romany Malco', 'Hayley Marie Norman', 'Anders Holm', 'Cedric the Entertainer', 'Karlie Redd', 'Kevin Barnett', 'Genevieve Angelson', 'Ben Cole', 'Corey Brown', 'Maia Wilson', 'Teddy Coluca', 'Ren Croney', 'Annaleigh Ashford']",0,"['Chris Rock', 'Chris Rock', 'Chris Rock', 'Rosario Dawson', 'Gabrielle Union', 'Chris Rock', 'Chris Rock', 'Chris Rock', 'Rosario Dawson', 'Gabrielle Union']","['IAC Films', 'Jax Media', '']",['Film'],2014.0,2014.0
https://www.imdb.com/title/tt14556900/,1.1025679175276506,Festpocalypse!,"['Video', '20212021', 'TV-MATV-MA', '3h 36m']",13,"['Dana Carvey', 'Chris Elliott', 'Rachel Dratch', 'Tim Meadows', 'Bob Odenkirk', 'Laraine Newman', 'Jordan Black', 'Mark McKinney', 'Cheri Oteri', 'Fred Armisen', 'Alan Zweibel', 'Bruce McCulloch', 'Robert Smigel']",13,Comedy,"['Ronnie Adrian', 'Kevin Allison', 'Alan Arkin', 'Fred Armisen', 'Rob Baedeker', 'Maria Bamford', 'Todd Barry', 'Doug Benson', 'Julie Benz', 'Matt Besser', 'Jordan Black', 'Michael Ian Black', 'Joey Bland', 'Andy Blitz', 'Mark Samual Bonanno', 'Joel Kim Booster', 'Ian Brennan', 'Paget Brewster']",0,"['Ronnie Adrian', 'Kevin Allison', 'Alan Arkin', 'Ronnie Adrian', 'Kevin Allison', 'Alan Arkin']",,['Video'],2021.0,2021.0
https://www.imdb.com/title/tt6470642/,1.1042970761988429,The Paley Center Salutes NBC's 90th Anniversary,"['TV Special', '20172017', '2h 7m']",7,"['Tracy Morgan', 'David Spade', 'Seth Meyers', 'Tina Fey', 'Amy Poehler', 'Martin Short', 'Jimmy Fallon']",7,Documentary|History,"['Jaimie Alexander', 'Melissa Sue Anderson', 'Scott Bakula', 'Meredith Baxter', 'Corbin Bernsen', 'Zach Braff', 'Todd Bridges', 'Tom Brokaw', 'Diahann Carroll', 'Cher', 'Bob Costas', 'Katie Couric', 'Carson Daly', 'Matt Damon', 'Ted Danson', 'Angie Dickinson', 'Barbara Eden', 'Donald Faison']",0,"['Brad Lachman', 'Matt Lachman', 'Jon Macks', 'Jaimie Alexander', 'Melissa Sue Anderson', 'Scott Bakula', 'Brad Lachman', 'Matt Lachman', 'Jon Macks', 'Jaimie Alexander', 'Melissa Sue Anderson', 'Scott Bakula']","['Brad Lachman Productions', 'Paley Center for Media', '']",['TV Special'],2017.0,2017.0
