imdb_link,genres,stars,media_type,num_episodes,principal_people,production_companies
https://www.imdb.com/title/tt0498994/,['Comedy'],"['Tom Hanks', 'Delta Burke', 'Dana Carvey', 'Nora Dunn', 'Phil Hartman', 'Jan Hooks', 'Victoria Jackson', 'Jon Lovitz', 'Dennis Miller', 'Mike Myers', 'Kevin Nealon', 'Al Franken', 'Chris Farley', 'Tim Meadows', 'Chris Rock', 'Julia Sweeney', 'Aerosmith', 'Tom Davis']","['Video', '19921992', '1h 35min']",0,"['Dave Wilson', 'John Bowman', 'A. Whitney Brown', 'Greg Daniels', 'Tom Hanks', 'Delta Burke', 'Dana Carvey', 'Dave Wilson', 'John Bowman', 'A. Whitney Brown', 'Greg Daniels', 'Tom Hanks', 'Delta Burke', 'Dana Carvey']",
https://www.imdb.com/title/tt0274793/,['Comedy'],"['Victoria Jackson', 'Kevin Nealon', 'Dan Aykroyd', 'Roseanne Barr', 'John Belushi', 'A. Whitney Brown', 'Dana Carvey', 'Chevy Chase', 'Jane Curtin', 'Joan Cusack', 'James Downey', 'Nora Dunn', 'Anthony Michael Hall', 'Phil Hartman', 'Jan Hooks', 'Jon Lovitz', 'Dennis Miller', 'Garrett Morris']","['TV Special', '19911991', 'TV-14TV-14', '48min']",0,"['James Signorelli', 'James Downey', 'Al Franken', ""Michael O'Donoghue"", 'Victoria Jackson', 'Kevin Nealon', 'Dan Aykroyd', 'James Signorelli', 'James Downey', 'Al Franken', ""Michael O'Donoghue"", 'Victoria Jackson', 'Kevin Nealon', 'Dan Aykroyd']",
https://www.imdb.com/title/tt12688170/,"['Comedy', 'Family', 'Talk-Show']","['Mykal-Michelle Harris', 'Olivia Perez', 'Young Dylan', 'Recker Eans', 'Zack Abramowitz']","['TV Series', '2021– 2021– ']",20,"['Mykal-Michelle Harris', 'Olivia Perez', 'Young Dylan', 'Mykal-Michelle Harris', 'Olivia Perez', 'Young Dylan']",
https://www.imdb.com/title/tt2281583/,['Comedy'],"['Anthony Anderson', 'Jesse Bradford', 'Zach Cregger', 'Tempestt Bledsoe', 'Erinn Hayes', 'Jamie-Lynn Sigler', 'Brian Mganga', 'Marleik Mar Mar Walker', 'Mykayla Sohn', 'Brian Posehn', 'Kareem Abdul-Jabbar', 'Fiona Gubelmann', 'Jessica Blair Herman', 'Mark Consuelos', 'Eva Amurri', 'Ian Reed Kesler', 'Emmitt Smith', 'Marissa Jaret Winokur']","['TV Series', '2012–20132012–2013', '22min']",18,"['Jimmy Fallon', 'Charlie Grandy', 'Amy Ozols', 'Anthony Anderson', 'Jesse Bradford', 'Zach Cregger', 'Jimmy Fallon', 'Charlie Grandy', 'Amy Ozols', 'Anthony Anderson', 'Jesse Bradford', 'Zach Cregger']",
https://www.imdb.com/title/tt1552852/,['Comedy'],"['Debra DiGiovanni', 'Lezlie Robinson', 'Danny Bhoy', 'Jim Gaffigan', 'Adam Hills', 'Jimmy Carr', 'Caroline Rhea', 'Heidi Foss', 'Glen Foster', 'Mark Forward', 'Ryan Belleville', 'Craig Ferguson', 'Maz Jobrani', 'Angelo Tsarouchas', 'Greg Behrendt', 'Lewis Black', 'Gerry Dee', 'Greg Giraldo']","['TV Series', '2009– 2009– ', '45min']",36,"['Debra DiGiovanni', 'Lezlie Robinson', 'Danny Bhoy', 'Debra DiGiovanni', 'Lezlie Robinson', 'Danny Bhoy']",
https://www.imdb.com/title/tt4472214/,['Comedy'],"['Christine Taylor', 'Christopher Mintz-Plasse', 'Greta Lee', 'Justine Cotsonas', 'Jerry Minor', 'Stephen Schneider', 'Jack Carpenter', 'Katrina E. Perkins', 'Agron Karameti', 'Kelly Aaron', 'Josh Butcher', 'Tim Kowalski']","['TV Movie', '20152015']",0,"['Jeremy Bronson', 'Christine Taylor', 'Christopher Mintz-Plasse', 'Greta Lee', 'Jeremy Bronson', 'Christine Taylor', 'Christopher Mintz-Plasse', 'Greta Lee']",
https://www.imdb.com/title/tt6554570/,['Comedy'],"['Steve Higgins', 'Brian Posehn', 'Nick Thune']","['TV Movie', '20132013']",0,"['Seth Kearsley', 'Steve Higgins', 'Brian Posehn', 'Nick Thune', 'Seth Kearsley', 'Steve Higgins', 'Brian Posehn', 'Nick Thune']",
https://www.imdb.com/title/tt10223460/,"['Comedy', 'Music', 'Romance']","['Utkarsh Ambudkar', 'Owen Wilson', 'Jennifer Lopez', 'Sarah Silverman', 'Chloe Coleman', 'Jimmy Fallon', 'Kyndra Sanchez', 'John Bradley', 'Brady Noon', 'Michelle Buteau', 'Stephen Wallem', 'Jacqueline Honulik', 'Maluma', 'Alex D. Jennings', 'Katrina Cunningham', 'Brittany Styles', 'Lori Pizzo', 'Daymien Valentino']","['20222022', 'PG-13PG-13', '1h 52min']",0,"['Kat Coiro', 'Harper Dill', 'Bobby Crosby', 'John Rogers', 'Utkarsh Ambudkar', 'Owen Wilson', 'Jennifer Lopez', 'Kat Coiro', 'Harper Dill', 'Bobby Crosby', 'John Rogers', 'Utkarsh Ambudkar', 'Owen Wilson', 'Jennifer Lopez']",
https://www.imdb.com/title/tt3864034/,"['Comedy', 'Crime', 'Music']","['Michael Kenneth Williams', 'Kristen Wiig', 'Bérénice Marlohe', 'Will Ferrell', 'Peter Coyote', 'Chin Han', 'Steve Tom', 'Marc Evan Jackson', 'Haley Joel Osment', 'Maya Rudolph', 'Michael Sheen', 'Tim Meadows', 'Jim Boulden', 'Bree Condon', 'Kevin Carlson', 'Emily Ratajkowski', 'Andrew Daly', 'Kari Coleman']","['TV Mini Series', '20152015']",6,"['Matt Piedmont', 'Andrew Steele', 'Michael Kenneth Williams', 'Kristen Wiig', 'Bérénice Marlohe', 'Matt Piedmont', 'Andrew Steele', 'Michael Kenneth Williams', 'Kristen Wiig', 'Bérénice Marlohe']",
https://www.imdb.com/title/tt1492966/,"['Comedy', 'Drama']","['Louis C.K.', 'Hadley Delany', 'Ursula Parker', 'Pamela Adlon', 'Steve Fabricant', 'Susan Kelechi Watson', 'Nick Di Paolo', 'Todd Barry', 'Jim Norton', 'Robert Kelly', 'William Stephenson', 'Edward Gelbinovich', 'Gary Wilmes', 'Eszter Balint', 'Ellen Burstyn', 'Charles Grodin', 'Parker Posey', 'Amy Landecker']","['TV Series', '2010–20152010–2015', 'TV-MATV-MA', '22min']",61,"['Louis C.K.', 'Louis C.K.', 'Hadley Delany', 'Ursula Parker', 'Louis C.K.', 'Louis C.K.', 'Hadley Delany', 'Ursula Parker']",
https://www.imdb.com/title/tt0476038/,['News'],"['Poppy Harlow', 'Brooke Baldwin', 'Jim Sciutto', 'Ana Cabrera', 'John Berman', 'Fredricka Whitfield', 'Brianna Keilar', 'John King', 'Dana Bash', 'Elie Honig', 'Gloria Borger', 'Manu Raju', 'Kaitlan Collins', 'Kate Bolduan', 'Chris Cillizza', 'Christine Romans', 'Anderson Cooper', 'Brian Stelter']","['TV Series', '1989–20211989–2021', '30min']",1846,"['Poppy Harlow', 'Brooke Baldwin', 'Jim Sciutto', 'Poppy Harlow', 'Brooke Baldwin', 'Jim Sciutto']",
https://www.imdb.com/title/tt1411664/,['Comedy'],"['Nick Swardson', 'Don Johnson', 'Christina Ricci', 'Stephen Dorff', 'Ido Mosseri', 'Kevin Nealon', 'Edward Herrmann', 'Miriam Flynn', 'Mario Joyner', 'Tyler Spindel', 'Meredith Giangrande', 'Nicholas Turturro', 'Mary Pat Gleason', 'Jackie Sandler', 'Dana Goodman', 'Curtis Armstrong', ""Mike O'Connell"", 'Brandon Hardesty']","['20112011', 'RR', '1h 37min']",0,"['Tom Brady', 'Adam Sandler', 'Allen Covert', 'Nick Swardson', 'Nick Swardson', 'Don Johnson', 'Christina Ricci', 'Tom Brady', 'Adam Sandler', 'Allen Covert', 'Nick Swardson', 'Nick Swardson', 'Don Johnson', 'Christina Ricci']",
https://www.imdb.com/title/tt1172233/,"['Drama', 'Sport']","['Elliot Page', 'Drew Barrymore', 'Kristen Wiig', 'Sarah Habel', 'Shannon Eagen', 'Edward Austin Kelly', 'Mary Callaghan Lynch', 'Jimmy Fallon', 'Alia Shawkat', 'Marcia Gay Harden', 'Barbara Coven', 'Eulala Scheel', 'Nina Kircher', 'Daniel Stern', 'Mark Boyd', 'Carlo Alban', 'Douglas Minckiewicz', 'Michael Petrillo']","['20092009', 'PG-13PG-13', '1h 51min']",0,"['Drew Barrymore', 'Shauna Cross', 'Elliot Page', 'Drew Barrymore', 'Kristen Wiig', 'Drew Barrymore', 'Shauna Cross', 'Elliot Page', 'Drew Barrymore', 'Kristen Wiig']",
https://www.imdb.com/title/tt0332047/,"['Comedy', 'Drama', 'Romance']","['Drew Barrymore', 'Jimmy Fallon', 'Jason Spevack', 'Jack Kehler', 'Scott Severance', 'Jessamy Finet', 'Maureen Keiller', 'Lenny Clarke', 'Ione Skye', 'KaDee Strickland', 'Marissa Jaret Winokur', 'Evan Helmuth', 'Brandon Craggs', 'Brett Murphy', 'Isabella Fink', 'Miranda Black', 'Greta Onieogou', 'Johnny Sneed']","['20052005', 'PG-13PG-13', '1h 44min']",0,"['Bobby Farrelly', 'Peter Farrelly', 'Lowell Ganz', 'Babaloo Mandel', 'Nick Hornby', 'Drew Barrymore', 'Jimmy Fallon', 'Jason Spevack', 'Bobby Farrelly', 'Peter Farrelly', 'Lowell Ganz', 'Babaloo Mandel', 'Nick Hornby', 'Drew Barrymore', 'Jimmy Fallon', 'Jason Spevack']",
https://www.imdb.com/title/tt15476218/,"['Music', 'News']","['Gayle King', 'Andrea Bocelli', 'Jennifer Hudson', 'LL Cool J', 'Clive Davis', 'Anderson Cooper', 'Chloe Melas', 'Stephen Colbert', 'The Killers', 'A Boogie wit da Hoodie', 'Marin Alsop', 'Jon Batiste', 'Kane Brown', 'DJ Cassidy', 'Elvis Costello', 'Bill de Blasio', 'Earth Wind & Fire', 'Cynthia Erivo']","['TV Special', '20212021']",0,"['Marcelo Gama', 'Chris DeLuca', 'Jason Torres', 'Gayle King', 'Andrea Bocelli', 'Jennifer Hudson', 'Marcelo Gama', 'Chris DeLuca', 'Jason Torres', 'Gayle King', 'Andrea Bocelli', 'Jennifer Hudson']",
https://www.imdb.com/title/tt12245198/,[],"['Anya Taylor-Joy', 'Jason Sudeikis', 'Gillian Anderson', 'Ethan Hawke', 'Jason Bateman', ""Catherine O'Hara"", 'Daisy Ridley', 'Lily Collins', 'Olivia Colman', 'Helen Mirren', 'Mark Ruffalo', 'Dan Levy', 'Rita Moreno', 'Mary Steenburgen', 'Henry Golding', 'Riz Ahmed', 'Viola Davis', 'Ted Danson']","['TV Special', '20212021', 'TV-14TV-14', '46min']",0,"['Alan Carter', 'Matt Roberts', 'Beth Sherman', 'Anya Taylor-Joy', 'Jason Sudeikis', 'Gillian Anderson', 'Alan Carter', 'Matt Roberts', 'Beth Sherman', 'Anya Taylor-Joy', 'Jason Sudeikis', 'Gillian Anderson']",
