person,credit_type,media_type,title,imdb_link,total_episode_count
Steven Castillo,self,"(TV Series)

Self - Guest",Chris Gethard Presents,https://www.imdb.com/title/tt10612376/,1
Gary Richardson,self,"(TV Series)

Self - Guest",Chris Gethard Presents,https://www.imdb.com/title/tt10612376/,1
Dan Licata,self,"(TV Series)

Self - Stand Up",Chris Gethard Presents,https://www.imdb.com/title/tt10612376/,1
