Weight,Source,Target
51,Billy Crystal,Robert Downey Jr.
3,Greg Daniels,Taran Killam
30,Cecily Strong,Jimmy Fallon
18,Cecily Strong,Stephen Colbert
77,Jimmy Fallon,Stephen Colbert
26,David Koechner,J.B. Smoove
70,Adam Sandler,Billy Crystal
36,Adam Sandler,Dennis Miller
45,Billy Crystal,Dennis Miller
64,Billy Crystal,Will Ferrell
31,Dennis Miller,Will Ferrell
35,Adam Sandler,Al Franken
84,Adam Sandler,Ben Stiller
31,Al Franken,Ben Stiller
17,Christopher Guest,Darrell Hammond
24,Christopher Guest,Jimmy Fallon
12,Christopher Guest,Rachel Dratch
18,Darrell Hammond,Harry Shearer
52,Darrell Hammond,Jimmy Fallon
23,Darrell Hammond,Michael McKean
39,Darrell Hammond,Rachel Dratch
28,Harry Shearer,Jimmy Fallon
13,Harry Shearer,Rachel Dratch
30,Jimmy Fallon,Michael McKean
58,Jimmy Fallon,Rachel Dratch
21,Michael McKean,Rachel Dratch
1,Jordan Black,Max Pross
1,Jordan Black,Tom Gammill
26,Ana Gasteyer,Casey Wilson
14,Ana Gasteyer,Damon Wayans
11,Ana Gasteyer,Hannibal Buress
37,Ana Gasteyer,Jason Sudeikis
18,Ana Gasteyer,Laurie Metcalf
40,Ana Gasteyer,Martin Short
59,Ana Gasteyer,Molly Shannon
64,Ana Gasteyer,Will Ferrell
11,Casey Wilson,Damon Wayans
15,Casey Wilson,Hannibal Buress
29,Casey Wilson,Jason Sudeikis
14,Casey Wilson,Laurie Metcalf
21,Casey Wilson,Martin Short
23,Casey Wilson,Molly Shannon
31,Casey Wilson,Will Ferrell
7,Damon Wayans,Hannibal Buress
24,Damon Wayans,Jason Sudeikis
12,Damon Wayans,Laurie Metcalf
24,Damon Wayans,Martin Short
21,Damon Wayans,Molly Shannon
26,Damon Wayans,Will Ferrell
22,Hannibal Buress,Jason Sudeikis
8,Hannibal Buress,Laurie Metcalf
17,Hannibal Buress,Martin Short
19,Hannibal Buress,Molly Shannon
21,Jason Sudeikis,Laurie Metcalf
46,Jason Sudeikis,Martin Short
47,Jason Sudeikis,Molly Shannon
27,Laurie Metcalf,Martin Short
22,Laurie Metcalf,Molly Shannon
19,Laurie Metcalf,Will Ferrell
46,Martin Short,Molly Shannon
66,Martin Short,Will Ferrell
80,Molly Shannon,Will Ferrell
19,Gilbert Gottfried,Hannibal Buress
25,Gilbert Gottfried,Tina Fey
29,Gilbert Gottfried,Will Ferrell
19,Hannibal Buress,Tina Fey
102,Tina Fey,Will Ferrell
4,Christine Nangle,Fran Gillespie
4,Christine Nangle,Heather Anne Campbell
6,Christine Nangle,Ryan Perez (I)
2,Fran Gillespie,Heather Anne Campbell
4,Fran Gillespie,Ryan Perez (I)
7,Heather Anne Campbell,Ryan Perez (I)
26,Eddie Murphy,J.B. Smoove
45,Andy Samberg,Chris Rock
19,Andy Samberg,David Koechner
51,Andy Samberg,David Spade
66,Andy Samberg,Seth Meyers
57,Andy Samberg,Tracy Morgan
24,Chris Rock,David Koechner
76,Chris Rock,David Spade
49,Chris Rock,Seth Meyers
73,Chris Rock,Tracy Morgan
28,David Koechner,David Spade
17,David Koechner,Seth Meyers
22,David Koechner,Tracy Morgan
46,David Spade,Seth Meyers
49,David Spade,Tracy Morgan
56,Seth Meyers,Tracy Morgan
2,Chevy Chase,Jon Vitti
23,Bill Murray,Brian Doyle-Murray
90,Bill Murray,Dan Aykroyd
