Weight,Source,Target
26,Vanessa Bayer,Will Ferrell
1,Glenn Rockowitz,J.B. Smoove
1,Glenn Rockowitz,Jordan Black
1,Glenn Rockowitz,Molly Shannon
1,Glenn Rockowitz,Nora Dunn
7,J.B. Smoove,Jordan Black
6,Jordan Black,Molly Shannon
4,Jordan Black,Nora Dunn
2,Beck Bennett,Claire Mulaney
2,Beck Bennett,Jerry Minor
3,Beck Bennett,Jordan Black
1,Claire Mulaney,Jerry Minor
1,Claire Mulaney,Jordan Black
9,Jerry Minor,Jordan Black
13,Billy Crystal,Dave Attell
6,Billy Crystal,Jerry Minor
11,Carol Leifer,Darrell Hammond
11,Carol Leifer,Dave Attell
6,Carol Leifer,Jerry Minor
30,Chevy Chase,Darrell Hammond
3,Damon Wayans,Frank Sebastiano
5,Damon Wayans,Jerry Minor
8,Damon Wayans,Joe Piscopo
5,Darrell Hammond,Frank Sebastiano
8,Darrell Hammond,Jerry Minor
5,Dave Attell,Frank Sebastiano
4,Dave Attell,Joe Piscopo
5,Frank Sebastiano,Jerry Minor
4,Frank Sebastiano,Louis C.K.
8,Frank Sebastiano,Tina Fey
7,Frank Sebastiano,Tracy Morgan
5,Jerry Minor,Jim Belushi
2,Jerry Minor,Joe Piscopo
9,Jerry Minor,Louis C.K.
6,Jerry Minor,Norm MacDonald
6,Jerry Minor,Rob Schneider
12,Jerry Minor,Sarah Silverman
10,Jerry Minor,Tina Fey
9,Jerry Minor,Tracy Morgan
6,Joe Piscopo,Louis C.K.
14,Joe Piscopo,Tina Fey
13,Joe Piscopo,Tracy Morgan
7,Conan O'Brien,Ray James
2,Conan O'Brien,Ross Abrash
3,J.B. Smoove,Ray James
3,J.B. Smoove,Ross Abrash
4,Larry David,Ray James
6,Larry David,Ross Abrash
26,Larry David,Tracy Morgan
6,Louis C.K.,Ray James
5,Louis C.K.,Ross Abrash
6,Norm MacDonald,Ray James
7,Norm MacDonald,Ross Abrash
2,Ray James,Ross Abrash
6,Ray James,Tracy Morgan
7,Ray James,Will Ferrell
3,Ross Abrash,Tracy Morgan
18,Ben Stiller,Chris Parnell
10,Chris Parnell,Christopher Guest
1,Chris Parnell,Douglas McGrath
14,Chris Parnell,Eddie Murphy
13,Chris Parnell,Harry Shearer
31,Chris Parnell,Kristen Wiig
18,Chris Parnell,Mike Myers
7,Chris Parnell,Robert Downey Jr.
51,Chris Parnell,Tim Meadows
14,Christopher Guest,Tim Meadows
1,Douglas McGrath,Eddie Murphy
1,Douglas McGrath,Mike Myers
1,Douglas McGrath,Tim Meadows
18,Harry Shearer,Tim Meadows
22,Kristen Wiig,Tim Meadows
9,Ana Gasteyer,Bruce McCulloch
17,Ana Gasteyer,John Mulaney
3,Anthony Michael Hall,Bruce McCulloch
6,Anthony Michael Hall,Carol Leifer
12,Anthony Michael Hall,Fred Armisen
7,Anthony Michael Hall,J.B. Smoove
6,Anthony Michael Hall,John Mulaney
11,Anthony Michael Hall,Rob Riggle
8,Bruce McCulloch,Carol Leifer
6,Bruce McCulloch,Chevy Chase
7,Bruce McCulloch,David Koechner
14,Bruce McCulloch,Fred Armisen
8,Bruce McCulloch,J.B. Smoove
6,Bruce McCulloch,John Mulaney
6,Bruce McCulloch,Michaela Watkins
10,Bruce McCulloch,Rob Riggle
8,Carol Leifer,David Koechner
9,Carol Leifer,Fred Armisen
4,Carol Leifer,John Mulaney
6,Carol Leifer,Michaela Watkins
11,Carol Leifer,Rob Riggle
8,Chevy Chase,John Mulaney
6,Chevy Chase,Michaela Watkins
14,David Koechner,John Mulaney
37,Fred Armisen,John Mulaney
19,J.B. Smoove,John Mulaney
19,John Mulaney,Rob Riggle
24,Colin Jost,Lorne Michaels
1,John DeBellis,Larry Arnstein
3,Larry Arnstein,Rich Hall
21,Ana Gasteyer,Nasim Pedrad
24,Ana Gasteyer,Robert Smigel
27,Bill Hader,Nasim Pedrad
31,Bill Hader,Robert Smigel
8,Colin Quinn,Nasim Pedrad
11,J.B. Smoove,Nasim Pedrad
20,J.B. Smoove,Robert Smigel
15,Kevin Nealon,Nasim Pedrad
40,Kevin Nealon,Robert Smigel
21,Martin Short,Nasim Pedrad
29,Martin Short,Robert Smigel
10,Nasim Pedrad,Robert Smigel
7,Christine Ebersole,Stephen Colbert
9,Jim Belushi,Victoria Jackson
19,David Spade,Fred Wolf
6,Fred Wolf,Jon Lovitz
5,Carol Leifer,Finesse Mitchell
3,Carol Leifer,Hugh Fink
2,Carol Leifer,Jessi Klein
8,Carol Leifer,Laura Kightlinger
2,Carol Leifer,Leo Allen
8,Carol Leifer,Victoria Jackson
3,Darrell Hammond,Hugh Fink
2,Darrell Hammond,Jessi Klein
11,Darrell Hammond,John Mulaney
3,Darrell Hammond,Laura Kightlinger
4,Darrell Hammond,Rich Hall
17,Darrell Hammond,Victoria Jackson
3,Dave Attell,Jessi Klein
12,Dave Attell,Laura Kightlinger
7,Dave Attell,Rich Hall
6,Dave Attell,Victoria Jackson
2,Finesse Mitchell,Hugh Fink
3,Finesse Mitchell,Jessi Klein
5,Finesse Mitchell,John Mulaney
3,Finesse Mitchell,Laura Kightlinger
1,Finesse Mitchell,Leo Allen
8,Finesse Mitchell,Louis C.K.
3,Finesse Mitchell,Rich Hall
4,Finesse Mitchell,Victoria Jackson
7,Gilbert Gottfried,Hugh Fink
4,Gilbert Gottfried,Jessi Klein
11,Gilbert Gottfried,John Mulaney
5,Gilbert Gottfried,Laura Kightlinger
12,Gilbert Gottfried,Rich Hall
14,Gilbert Gottfried,Victoria Jackson
1,Hugh Fink,Jessi Klein
4,Hugh Fink,Laura Kightlinger
2,Hugh Fink,Leo Allen
4,Hugh Fink,Louis C.K.
4,Hugh Fink,Rich Hall
3,Hugh Fink,Rob Riggle
4,Hugh Fink,Victoria Jackson
5,Jessi Klein,John Mulaney
3,Jessi Klein,Kevin Nealon
2,Jessi Klein,Laura Kightlinger
5,Jessi Klein,Leo Allen
4,Jessi Klein,Louis C.K.
1,Jessi Klein,Rich Hall
4,Jessi Klein,Rob Riggle
1,Jessi Klein,Victoria Jackson
2,John Mulaney,Laura Kightlinger
5,John Mulaney,Leo Allen
3,John Mulaney,Rich Hall
1,John Mulaney,Victoria Jackson
12,Kevin Nealon,Laura Kightlinger
4,Laura Kightlinger,Leo Allen
12,Laura Kightlinger,Louis C.K.
3,Laura Kightlinger,Rich Hall
4,Laura Kightlinger,Rob Riggle
3,Laura Kightlinger,Victoria Jackson
1,Leo Allen,Rich Hall
1,Leo Allen,Victoria Jackson
5,Louis C.K.,Rich Hall
4,Louis C.K.,Victoria Jackson
4,Rich Hall,Rob Riggle
4,Rob Riggle,Victoria Jackson
27,Bill Hader,Hannibal Buress
14,Bill Hader,Jerry Minor
20,Bob Odenkirk,Hannibal Buress
26,Bob Odenkirk,Jerry Minor
8,Hannibal Buress,Jerry Minor
1,Jan Hooks,Michael C. McCarthy
12,Jan Hooks,Michael McKean
2,Mary Gross,Michael C. McCarthy
13,Mary Gross,Michael McKean
1,Ellen Cleghorne,Ellen L. Fogle
7,Ellen Cleghorne,Gilbert Gottfried
1,Ellen L. Fogle,Warren Hutcherson
6,Gilbert Gottfried,Warren Hutcherson
4,Warren Hutcherson,Will Ferrell
43,Cheri Oteri,Molly Shannon
2,Mary Gross,Michaela Watkins
5,Andy Breckman,Gilbert Gottfried
3,Andy Breckman,Janeane Garofalo
2,Andy Breckman,Sasheer Zamata
6,Gilbert Gottfried,Sasheer Zamata
12,Janeane Garofalo,Sasheer Zamata
40,Conan O'Brien,Dana Carvey
23,Chris Parnell,Michael McKean
19,Chris Parnell,Phil Hartman
21,Michael McKean,Phil Hartman
29,Amy Poehler,Paula Pell
5,Andy Samberg,Mark McKinney
22,Andy Samberg,Paula Pell
13,Jay Pharoah,Paula Pell
11,Jillian Bell,Paula Pell
7,Kristen Wiig,Mark McKinney
22,Kristen Wiig,Paula Pell
5,Mark McKinney,Maya Rudolph
7,Mark McKinney,Paula Pell
6,Mark McKinney,Will Forte
28,Maya Rudolph,Paula Pell
8,Michael McKean,Paula Pell
16,Paula Pell,Rob Riggle
21,Paula Pell,Will Forte
5,Casey Wilson,Heather Anne Campbell
12,Casey Wilson,Ryan Perez (I)
25,Adam Sandler,Jenny Slate
13,Adam Sandler,Jorma Taccone
27,Amy Poehler,Jenny Slate
23,Amy Poehler,Jorma Taccone
12,Andy Samberg,Dave Attell
12,Andy Samberg,Jim Breuer
13,Ben Stiller,Dave Attell
8,Ben Stiller,Finesse Mitchell
11,Ben Stiller,Jorma Taccone
24,Billy Crystal,Jenny Slate
10,Billy Crystal,Jorma Taccone
18,Casey Wilson,Jorma Taccone
21,Conan O'Brien,Jenny Slate
8,Conan O'Brien,Jorma Taccone
9,Dave Attell,Eddie Murphy
4,Dave Attell,Jorma Taccone
14,Dave Attell,Julia Louis-Dreyfus
9,Dave Attell,Kristen Wiig
9,Dave Attell,Maya Rudolph
26,David Spade,Jenny Slate
14,David Spade,Jorma Taccone
26,Eddie Murphy,Jenny Slate
12,Eddie Murphy,Jim Breuer
5,Finesse Mitchell,Jenny Slate
8,Finesse Mitchell,Kristen Wiig
7,Finesse Mitchell,Robert Downey Jr.
7,Finesse Mitchell,Sarah Silverman
6,Jenny Slate,Jim Breuer
13,Jenny Slate,Jorma Taccone
24,Jenny Slate,Julia Louis-Dreyfus
31,Jenny Slate,Kristen Wiig
29,Jenny Slate,Maya Rudolph
29,Jenny Slate,Rob Riggle
18,Jenny Slate,Robert Downey Jr.
25,Jenny Slate,Tina Fey
31,Jenny Slate,Will Ferrell
4,Jim Breuer,Jorma Taccone
10,Jim Breuer,Kristen Wiig
9,Jorma Taccone,Julia Louis-Dreyfus
25,Jorma Taccone,Kristen Wiig
30,Jorma Taccone,Maya Rudolph
13,Jorma Taccone,Rob Riggle
7,Jorma Taccone,Robert Downey Jr.
15,Jorma Taccone,Sarah Silverman
17,Jorma Taccone,Tina Fey
27,Jorma Taccone,Will Ferrell
2,Liz Cackowski,Michaela Watkins
25,Adam Sandler,John Belushi
43,Adam Sandler,Phil Hartman
20,Amy Poehler,Chris Farley
12,Bobby Moynihan,John Belushi
10,Bobby Moynihan,Julia Sweeney
9,Bobby Moynihan,Larry David
15,Bobby Moynihan,Pete Davidson
12,Bobby Moynihan,Phil Hartman
22,Chevy Chase,Larry David
12,Chevy Chase,Pete Davidson
15,Chris Farley,Conan O'Brien
25,Chris Farley,John Belushi
26,Chris Farley,Julia Sweeney
5,Chris Farley,Pete Davidson
44,Chris Farley,Phil Hartman
17,Chris Kattan,John Belushi
22,Chris Kattan,Julia Sweeney
15,Chris Kattan,Larry David
10,Chris Kattan,Pete Davidson
25,Chris Kattan,Phil Hartman
21,Chris Rock,John Belushi
12,Conan O'Brien,John Belushi
19,David Spade,John Belushi
27,David Spade,Julia Sweeney
6,Gilbert Gottfried,John Belushi
20,Gilbert Gottfried,Larry David
7,Gilbert Gottfried,Pete Davidson
10,Gilbert Gottfried,Phil Hartman
37,Jane Curtin,John Belushi
9,Jane Curtin,Larry David
9,Jane Curtin,Pete Davidson
27,Jimmy Fallon,John Belushi
8,John Belushi,Julia Louis-Dreyfus
11,John Belushi,Julia Sweeney
12,John Belushi,Kate McKinnon
17,John Belushi,Kristen Wiig
7,John Belushi,Larry David
7,John Belushi,Leslie Jones
24,John Belushi,Martin Short
17,John Belushi,Maya Rudolph
26,John Belushi,Mike Myers
18,John Belushi,Norm MacDonald
7,John Belushi,Pete Davidson
21,John Belushi,Tina Fey
18,John Belushi,Tracy Morgan
28,John Belushi,Will Ferrell
6,Julia Sweeney,Kate McKinnon
4,Julia Sweeney,Leslie Jones
22,Julia Sweeney,Norm MacDonald
5,Julia Sweeney,Pete Davidson
33,Julia Sweeney,Phil Hartman
16,Julia Sweeney,Sarah Silverman
19,Kate McKinnon,Larry David
8,Kate McKinnon,Phil Hartman
17,Larry David,Leslie Jones
25,Larry David,Mike Myers
11,Larry David,Pete Davidson
10,Larry David,Phil Hartman
4,Leslie Jones,Phil Hartman
22,Maya Rudolph,Phil Hartman
12,Mike Myers,Pete Davidson
27,Norm MacDonald,Phil Hartman
5,Pete Davidson,Phil Hartman
16,Phil Hartman,Sarah Silverman
30,Phil Hartman,Tina Fey
25,Phil Hartman,Tracy Morgan
1,Chris Parnell,Ken Scarborough
19,Chris Parnell,Laraine Newman
1,Ken Scarborough,Laraine Newman
12,David Koechner,Laurie Metcalf
3,Brian McElhaney,John Milhiser
3,Jeremy Beiler,Zack Bornstein
2,Adam McKay,Greg Daniels
12,Adam McKay,Jenny Slate
3,Adam McKay,Natasha Rothwell
12,Anthony Michael Hall,Bill Hader
3,Anthony Michael Hall,Greg Daniels
6,Anthony Michael Hall,Jenny Slate
2,Anthony Michael Hall,Natasha Rothwell
12,Anthony Michael Hall,Tracy Morgan
7,Bill Hader,Greg Daniels
3,David Spade,Greg Daniels
2,Eddie Murphy,Greg Daniels
13,Eddie Murphy,Michaela Watkins
5,Eddie Murphy,Natasha Rothwell
5,Greg Daniels,Jenny Slate
2,Greg Daniels,Michaela Watkins
2,Greg Daniels,Natasha Rothwell
4,Greg Daniels,Rob Schneider
6,Greg Daniels,Tracy Morgan
6,Greg Daniels,Will Ferrell
19,Jenny Slate,Michaela Watkins
9,Jenny Slate,Natasha Rothwell
13,Jenny Slate,Rob Schneider
4,Denny Dillon,Gary Kroeger
3,Gary Kroeger,Joe Piscopo
26,David Spade,Horatio Sanz
35,Horatio Sanz,Tracy Morgan
2,Punkie Johnson,Stephen Colbert
18,Aidy Bryant,Beck Bennett
7,Aidy Bryant,Ego Nwodim
3,Aidy Bryant,James Austin Johnson
12,Aidy Bryant,Melissa Villaseñor
15,Beck Bennett,Cecily Strong
7,Beck Bennett,Ego Nwodim
2,Beck Bennett,James Austin Johnson
15,Beck Bennett,Jimmy Fallon
9,Beck Bennett,Melissa Villaseñor
11,Cecily Strong,Melissa Villaseñor
7,Ego Nwodim,Melissa Villaseñor
2,James Austin Johnson,Melissa Villaseñor
10,Jimmy Fallon,Melissa Villaseñor
3,Charles Rocket,Danitra Vance
2,Charles Rocket,Denny Dillon
3,Charles Rocket,Harry Shearer
1,Charles Rocket,John Bowman
3,Danitra Vance,Denny Dillon
3,Danitra Vance,Harry Shearer
1,Danitra Vance,John Bowman
1,Danitra Vance,Pamela Norris
6,Denny Dillon,Harry Shearer
2,Denny Dillon,John Bowman
2,Denny Dillon,Pamela Norris
4,Harry Shearer,John Bowman
1,Harry Shearer,Pamela Norris
1,John Bowman,Pamela Norris
30,Garrett Morris,Gilda Radner
30,Garrett Morris,John Belushi
33,Garrett Morris,Laraine Newman
44,Gilda Radner,John Belushi
46,Gilda Radner,Lorne Michaels
36,John Belushi,Laraine Newman
45,John Belushi,Lorne Michaels
48,Laraine Newman,Lorne Michaels
2,Jordan Black,Warren Hutcherson
2,Cindy Caponera,Laurie Metcalf
24,Adam Sandler,Victoria Jackson
10,Eric Slovin,Leo Allen
1,David Iserson,Melanie Hutsell
1,Chris Elliott,Matthew Laurance
8,Chris Elliott,Nora Dunn
2,Chris Elliott,Robin Duke
1,Chris Elliott,Tracy Tormé
2,Kevin Nealon,Matthew Laurance
25,Kevin Nealon,Nora Dunn
4,Kevin Nealon,Robin Duke
1,Kevin Nealon,Tracy Tormé
1,Matthew Laurance,Nora Dunn
1,Matthew Laurance,Robin Duke
1,Matthew Laurance,Tracy Tormé
4,Nora Dunn,Robin Duke
1,Nora Dunn,Tracy Tormé
1,Robin Duke,Tracy Tormé
1,Beth Cahill,Eric Slovin
2,Beth Cahill,Jeff Richards (III)
2,Beth Cahill,Jerry Minor
2,Beth Cahill,Leo Allen
1,Eric Slovin,Jeff Richards (III)
4,Eric Slovin,Jerry Minor
6,Jeff Richards (III),Jerry Minor
3,Jeff Richards (III),Leo Allen
7,Jerry Minor,Leo Allen
18,Bill Murray,Jenny Slate
1,Bill Murray,Terry Southern
1,Chris Rock,Terry Southern
1,Dan Aykroyd,Terry Southern
16,Jason Sudeikis,John Belushi
1,Jason Sudeikis,Terry Southern
7,Jenny Slate,John Belushi
27,Jenny Slate,Martin Short
18,Jenny Slate,Mike Myers
1,Jenny Slate,Terry Southern
1,John Belushi,Terry Southern
1,Kristen Wiig,Terry Southern
1,Martin Short,Terry Southern
1,Mike Myers,Terry Southern
1,Robert Downey Jr.,Terry Southern
1,Terry Southern,Will Ferrell
1,Al Franken,Noël Wells
10,Colin Jost,Michael McKean
17,Colin Jost,Molly Shannon
4,Colin Jost,Noël Wells
11,Fred Armisen,Noël Wells
2,Harry Shearer,Noël Wells
4,Kevin Nealon,Noël Wells
3,Michael McKean,Noël Wells
6,Molly Shannon,Noël Wells
5,Ana Gasteyer,Brad Hall
1,Ana Gasteyer,Mark Reisman
3,Ben Stiller,Brad Hall
1,Ben Stiller,Mark Reisman
4,Billy Crystal,Brad Hall
1,Billy Crystal,Mark Reisman
4,Brad Hall,Julia Sweeney
2,Brad Hall,Laurie Metcalf
2,Brad Hall,Mark Reisman
4,Brad Hall,Rachel Dratch
2,Brad Hall,Sarah Silverman
1,Julia Sweeney,Mark Reisman
16,Julia Sweeney,Rachel Dratch
1,Laurie Metcalf,Mark Reisman
1,Mark Reisman,Rachel Dratch
1,Mark Reisman,Sarah Silverman
30,Amy Poehler,Cecily Strong
13,Amy Poehler,Michael Schur
6,Ben Stiller,Michael Schur
25,Bill Hader,Colin Jost
17,Bob Odenkirk,Colin Jost
6,Bob Odenkirk,Michael Schur
10,Cecily Strong,Conan O'Brien
9,Cecily Strong,David Koechner
3,Cecily Strong,Michael Schur
4,Colin Jost,Michael Schur
5,Conan O'Brien,Michael Schur
34,Conan O'Brien,Molly Shannon
4,David Koechner,Michael Schur
29,David Koechner,Molly Shannon
3,J.B. Smoove,Michael Schur
6,Jimmy Fallon,Michael Schur
5,Julia Louis-Dreyfus,Michael Schur
6,Michael Schur,Molly Shannon
5,Michael Schur,Sarah Silverman
8,Michael Schur,Will Ferrell
8,Michael Schur,Will Forte
38,Molly Shannon,Seth Meyers
1,Bill Hader,Lewis Morton
7,Bill Hader,Neil Casey
4,Conan O'Brien,Lewis Morton
3,Conan O'Brien,Neil Casey
3,Lewis Morton,Neil Casey
4,Neil Casey,Zack Bornstein
1,Billy Brown (X),Charles Rocket
1,Billy Brown (X),Michael McKean
2,Billy Brown (X),Nora Dunn
1,Billy Brown (X),Victoria Jackson
4,Charles Rocket,Nora Dunn
3,Charles Rocket,Victoria Jackson
20,Nora Dunn,Victoria Jackson
7,Chris Redd,Hannibal Buress
11,Chris Redd,Melissa Villaseñor
9,Chris Redd,Sarah Silverman
7,Hannibal Buress,Melissa Villaseñor
12,Chris Redd,Rob Riggle
8,Gail Matthius,Laraine Newman
5,Gail Matthius,Nora Dunn
20,Laraine Newman,Nora Dunn
3,David Koechner,Siobhan Fallon Hogan
4,Jay Mohr,Siobhan Fallon Hogan
9,Ali Reza,Rachel Dratch
5,Ali Reza,Tim Meadows
9,Chris Elliott,Tim Meadows
6,Rachel Dratch,Siobhan Fallon Hogan
8,Siobhan Fallon Hogan,Tim Meadows
6,Anthony Michael Hall,Joe Piscopo
21,David Koechner,Maya Rudolph
6,Brian Doyle-Murray,Harry Shearer
9,Brian Doyle-Murray,Janeane Garofalo
5,Brian Doyle-Murray,John Bowman
2,Janeane Garofalo,John Bowman
9,Janeane Garofalo,Laraine Newman
1,John Bowman,Laraine Newman
19,Hannibal Buress,Jay Pharoah
1,Chris Farley,Dawna Kaufmann
4,Chris Farley,Pamela Stephenson
1,Dawna Kaufmann,Gilda Radner
1,Dawna Kaufmann,John Belushi
1,Dawna Kaufmann,Pamela Stephenson
1,Dawna Kaufmann,Phil Hartman
5,John Belushi,Pamela Stephenson
9,David Koechner,Joan Cusack
12,Casey Wilson,Paula Pell
33,Paula Pell,Tina Fey
2,Anthony Michael Hall,Judith Belushi-Pisano
8,Jim Belushi,Judith Belushi-Pisano
2,Judith Belushi-Pisano,Tracy Morgan
2,Chris Elliott,Joe Kelly
17,Ellen Cleghorne,Julia Sweeney
4,Al Franken,Denny Dillon
10,Al Franken,Ellen Cleghorne
3,Al Franken,Gail Matthius
3,Al Franken,John Bowman
8,Al Franken,Melanie Hutsell
3,Carol Leifer,Denny Dillon
6,Carol Leifer,Ellen Cleghorne
1,Carol Leifer,Gail Matthius
2,Carol Leifer,John Bowman
4,Carol Leifer,Melanie Hutsell
4,Chris Rock,Denny Dillon
2,Chris Rock,Gail Matthius
10,Chris Rock,Melanie Hutsell
10,Chris Rock,Tom Davis (I)
3,Denny Dillon,Ellen Cleghorne
4,Denny Dillon,Gail Matthius
3,Denny Dillon,Melanie Hutsell
3,Denny Dillon,Rich Hall
3,Denny Dillon,Sarah Silverman
3,Denny Dillon,Tom Davis (I)
4,Denny Dillon,Victoria Jackson
3,Don Novello,Gail Matthius
2,Don Novello,John Bowman
3,Don Novello,Melanie Hutsell
5,Don Novello,Sarah Silverman
2,Ellen Cleghorne,Gail Matthius
2,Ellen Cleghorne,John Bowman
10,Ellen Cleghorne,Melanie Hutsell
4,Ellen Cleghorne,Rich Hall
9,Ellen Cleghorne,Tom Davis (I)
10,Ellen Cleghorne,Victoria Jackson
2,Gail Matthius,John Bowman
2,Gail Matthius,Melanie Hutsell
2,Gail Matthius,Rich Hall
1,Gail Matthius,Sarah Silverman
3,Gail Matthius,Tom Davis (I)
3,Gail Matthius,Victoria Jackson
1,John Bowman,Melanie Hutsell
1,John Bowman,Rich Hall
2,John Bowman,Sarah Silverman
3,John Bowman,Tom Davis (I)
3,John Bowman,Victoria Jackson
2,Melanie Hutsell,Rich Hall
8,Melanie Hutsell,Sarah Silverman
5,Melanie Hutsell,Tom Davis (I)
10,Melanie Hutsell,Victoria Jackson
6,Sarah Silverman,Tom Davis (I)
12,Tom Davis (I),Victoria Jackson
1,Dave Sirus,Fred Wolf
1,Dave Sirus,Jay Mohr
1,Dave Sirus,Jeff Richards (III)
1,Dave Sirus,Jon Rudnitsky
1,Dave Sirus,Julia Sweeney
1,Dave Sirus,Norm MacDonald
4,Fred Wolf,Jay Mohr
1,Fred Wolf,Jeff Richards (III)
1,Fred Wolf,Jon Rudnitsky
4,Fred Wolf,Julia Sweeney
7,Fred Wolf,Norm MacDonald
4,Jay Mohr,Jeff Richards (III)
24,Jay Mohr,Julia Sweeney
1,Jeff Richards (III),Jon Rudnitsky
5,Jeff Richards (III),Julia Sweeney
6,Jeff Richards (III),Norm MacDonald
1,Jon Rudnitsky,Julia Sweeney
3,Alan Zweibel,Jordan Black
1,Christine Ebersole,Steven Cragg
6,Adam Sandler,Beth Cahill
2,Beth Cahill,Bob Odenkirk
2,Beth Cahill,Conan O'Brien
3,Beth Cahill,Dana Carvey
2,Beth Cahill,Dennis Miller
4,Beth Cahill,Jimmy Fallon
4,Beth Cahill,Jon Lovitz
3,Beth Cahill,Seth Meyers
4,Beth Cahill,Tim Meadows
19,Bob Odenkirk,Dennis Miller
36,Dana Carvey,Seth Meyers
39,Dana Carvey,Tim Meadows
5,Brian Doyle-Murray,Charles Rocket
2,Charles Rocket,Mary Gross
7,Brian Doyle-Murray,Chris Elliott
1,Brian Doyle-Murray,Mark Reisman
3,Charles Rocket,Chris Elliott
4,Charles Rocket,Gilbert Gottfried
3,Charles Rocket,Mark Reisman
1,Chris Elliott,Mark Reisman
3,Gilbert Gottfried,Mark Reisman
2,Ben Stiller,Rosie Shuster
1,Ben Stiller,Tom Schiller
1,Christine Ebersole,Rosie Shuster
1,Christine Ebersole,Tom Schiller
1,Damon Wayans,Rosie Shuster
2,Damon Wayans,Tom Schiller
9,Dan Aykroyd,Rosie Shuster
11,Dan Aykroyd,Tom Schiller
2,Janeane Garofalo,Rosie Shuster
3,Janeane Garofalo,Tom Schiller
4,Jon Lovitz,Rosie Shuster
6,Jon Lovitz,Tom Schiller
4,Kevin Nealon,Rosie Shuster
9,Kevin Nealon,Tom Schiller
1,Michael McKean,Rosie Shuster
5,Michael McKean,Tom Schiller
3,Rob Schneider,Rosie Shuster
6,Rob Schneider,Tom Schiller
7,Rosie Shuster,Tom Schiller
28,Cheri Oteri,Maya Rudolph
3,Billy Crystal,Eric Slovin
2,Billy Crystal,Leo Allen
6,Eric Slovin,Fred Armisen
1,Eric Slovin,Morwenna Banks
1,Fred Armisen,Morwenna Banks
1,Leo Allen,Morwenna Banks
6,Casey Wilson,Chris Elliott
1,Casey Wilson,Melanie Hutsell
10,Chris Elliott,J.B. Smoove
3,Chris Elliott,Melanie Hutsell
10,Chris Elliott,Rob Riggle
4,J.B. Smoove,Melanie Hutsell
4,Melanie Hutsell,Rob Riggle
3,Ben Marshall (IV),John Higgins (XV)
3,Ben Marshall (IV),Martin Herlihy
3,John Higgins (XV),Martin Herlihy
1,Anne Beatts,Tony Rosato
2,Gary Kroeger,John Bowman
3,Gary Kroeger,Pamela Stephenson
3,George Coe,John Bowman
1,George Coe,Pamela Stephenson
1,John Bowman,Pamela Stephenson
1,Charles Rocket,Matthew Laurance
8,Bruce McCulloch,Norm MacDonald
1,Cindy Caponera,Mark Reisman
2,Denny Dillon,George Coe
2,Denny Dillon,Kevin Kelton
4,Gary Kroeger,Gilbert Gottfried
1,Gary Kroeger,Kevin Kelton
1,George Coe,Kevin Kelton
3,Gilbert Gottfried,Kevin Kelton
1,Jon Rudnitsky,LaKendra Tookes
1,Jon Rudnitsky,Sudi Green
1,LaKendra Tookes,Sudi Green
2,Al Franken,James Anderson (XI)
3,Billy Crystal,James Anderson (XI)
1,James Anderson (XI),Jay Mohr
1,Chris Parnell,Matthew Craig (II)
1,Laraine Newman,Matthew Craig (II)
2,Garrett Morris,Larry David
5,Garrett Morris,Rob Riggle
19,Jon Lovitz,Larry David
9,Anthony Michael Hall,Cheri Oteri
9,Aidy Bryant,Al Franken
1,Aidy Bryant,Andrew Dismukes
13,Aidy Bryant,Bowen Yang
17,Aidy Bryant,Casey Wilson
9,Aidy Bryant,Chloe Fineman
13,Aidy Bryant,Chris Redd
17,Aidy Bryant,Dana Carvey
15,Aidy Bryant,Julia Louis-Dreyfus
36,Aidy Bryant,Kate McKinnon
1,Aidy Bryant,Lauren Holt
14,Aidy Bryant,Laurie Metcalf
3,Aidy Bryant,Punkie Johnson
33,Aidy Bryant,Seth Meyers
1,Al Franken,Andrew Dismukes
3,Al Franken,Beck Bennett
4,Al Franken,Bowen Yang
5,Al Franken,Chloe Fineman
4,Al Franken,Chris Redd
4,Al Franken,Heidi Gardner
7,Al Franken,Kate McKinnon
5,Al Franken,Kyle Mooney
1,Al Franken,Lauren Holt
11,Al Franken,Laurie Metcalf
5,Al Franken,Melissa Villaseñor
8,Al Franken,Pete Davidson
1,Al Franken,Punkie Johnson
6,Alex Moffat,Amy Poehler
1,Alex Moffat,Andrew Dismukes
6,Alex Moffat,Beck Bennett
2,Alex Moffat,Ben Stiller
2,Alex Moffat,Bowen Yang
4,Alex Moffat,Casey Wilson
3,Alex Moffat,Chloe Fineman
7,Alex Moffat,Chris Redd
6,Alex Moffat,Colin Jost
3,Alex Moffat,Dana Carvey
6,Alex Moffat,Heidi Gardner
2,Alex Moffat,Julia Louis-Dreyfus
8,Alex Moffat,Kate McKinnon
6,Alex Moffat,Kyle Mooney
1,Alex Moffat,Lauren Holt
2,Alex Moffat,Laurie Metcalf
7,Alex Moffat,Melissa Villaseñor
7,Alex Moffat,Pete Davidson
3,Alex Moffat,Punkie Johnson
6,Alex Moffat,Tina Fey
4,Alex Moffat,Tracy Morgan
1,Amy Poehler,Andrew Dismukes
14,Amy Poehler,Beck Bennett
14,Amy Poehler,Bowen Yang
8,Amy Poehler,Chloe Fineman
13,Amy Poehler,Chris Redd
5,Amy Poehler,Ego Nwodim
18,Amy Poehler,Kyle Mooney
1,Amy Poehler,Lauren Holt
