person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Nora Dunn,False,1985,1990,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1,0,88,3,0.10612375089221984
Dean Edwards,False,2001,2003,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1,0,40,0,0.09200838686652392
Abby Elliott,False,2008,2012,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_0,0,81,0,0.10163990007137759
Chris Elliott,False,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_0,0,19,1,0.09340783369022126
Siobhan Fallon Hogan,False,1991,1992,1,0,0,1,0,0,1,0,0,0,0,https://www.imdb.com/name/nm0266441/?ref_=fn_nm_nm_0,0,20,0,0.08850419343326196
Chris Farley,False,1990,1995,5,0,0,5,5,0,1,0,0,1,1,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_0,0,96,7,0.12421582798001427
Will Ferrell,False,1995,2002,7,0,0,7,7,0,0,0,0,1,5,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1,0,140,11,0.11482378658101355
Chloe Fineman,True,2019,2023,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0,55,4,0.09854568165596003
Will Forte,False,2002,2010,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0,156,4,0.11702310849393291
Heidi Gardner,True,2017,2023,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0,99,2,0.10682637401855818
Janeane Garofalo,False,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0,14,0,0.09276543540328336
Ana Gasteyer,False,1996,2002,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0,121,4,0.11125535331905782
Gilbert Gottfried,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0,13,0,0.0926423090649536
Bill Hader,False,2005,2013,8,0,0,8,7,1,0,0,0,0,2,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4,161,6,0.11816336545324768
Anthony Michael Hall,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0,12,6,0.09267978229835831
Darrell Hammond,False,1995,2009,14,0,0,14,14,0,0,0,0,0,0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0,313,128,0.14654800142755176
Lauren Holt,False,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0,20,0,0.08850419343326196
Jan Hooks,False,1986,1991,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_0,0,100,4,0.10762803354746608
Yvonne Hudson,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0,31,0,0.08985858315488937
Melanie Hutsell,False,1991,1994,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_0,0,53,2,0.09637089578872235
Victoria Jackson,False,1986,1992,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0,109,5,0.10980460385438973
Punkie Johnson,True,2020,2023,3,0,0,3,0,3,0,0,0,0,0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_0,0,40,1,0.09307682012847966
Chris Kattan,False,1996,2003,8,0,0,8,7,1,0,0,0,1,0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_0,0,148,4,0.11603809778729479
Taran Killam,False,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0,128,0,0.11034350463954319
David Koechner,False,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_0,0,21,0,0.09362731977159171
Gary Kroeger,False,1982,1985,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0,56,1,0.10004684154175589
Matthew Laurance,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0,9,1,0.08717657030692363
Julia Louis-Dreyfus,False,1982,1985,3,0,0,3,3,0,0,0,0,0,3,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_0,0,57,3,0.10022350107066381
Jon Lovitz,False,1985,1990,5,0,0,5,5,0,0,0,0,1,1,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_0,0,91,10,0.10668049607423269
Michael McKean,False,1994,1995,2,0,0,2,2,0,0,0,0,0,1,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_0,0,27,3,0.09548804425410422
Mark McKinney,False,1985,1997,4,1,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0,70,2,0.08033904354032834
Kate McKinnon,False,2012,2022,11,0,0,11,9,2,0,0,0,0,0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0,207,4,0.12614346083966
Tim Meadows,False,1991,2000,10,1,0,10,10,0,0,0,0,1,0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20,182,8,0.12539525339043542
Laurie Metcalf,False,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_0,0,1,1,0.08619155960028552
John Milhiser,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1,0,21,1,0.0886540863668808
Jerry Minor,False,2000,2001,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_0,20,20,0,0.09085965381870093
Finesse Mitchell,False,2003,2006,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_0,0,59,0,0.09705612062812277
Alex Moffat,False,2016,2022,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1,0,120,2,0.10941202712348323
Jay Mohr,False,1993,1995,2,1,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_0,20,39,0,0.09424072091363313
Kyle Mooney,False,2013,2022,9,0,0,9,7,2,0,0,0,0,0,https://www.imdb.com/name/nm3324982/?ref_=fn_nm_nm_1,0,182,3,0.12075318225077325
Tracy Morgan,False,1996,2003,7,0,0,7,7,0,0,0,0,1,2,https://www.imdb.com/name/nm0605079/?ref_=fn_nm_nm_1,0,142,13,0.11512357244825125
Bobby Moynihan,False,2008,2017,9,0,0,9,7,2,0,0,0,0,0,https://www.imdb.com/name/nm1293885/?ref_=fn_nm_nm_1,0,193,1,0.1220540387818225
Eddie Murphy,False,1980,1984,4,2,0,4,3,1,0,0,0,1,3,https://www.imdb.com/name/nm0000552/?ref_=fn_nm_nm_1,39,66,6,0.1057967523197716
Mike Myers,False,1989,1995,7,2,0,7,7,1,0,0,0,1,1,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_0,32,118,5,0.1278660013255838
Laraine Newman,False,1975,1980,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0628170/?ref_=fn_nm_nm_0,0,104,3,0.10809377230549606
Don Novello,False,1977,1986,4,4,0,2,0,2,0,0,0,0,1,https://www.imdb.com/name/nm0637038/?ref_=fn_nm_nm_1,71,39,0,0.05983047822983584
Luke Null,False,2017,2018,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3760937/?ref_=fn_nm_nm_0,0,21,0,0.08862731977159172
Ego Nwodim,True,2018,2023,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm4945455/?ref_=fn_nm_nm_0,0,78,2,0.10286572091363312
Michael Patrick O'Brien (II),False,2009,2015,6,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3653190/?ref_=fn_nm_nm_1,103,44,0,0.037964846538187005
Cheri Oteri,False,1995,2000,5,0,0,5,5,0,0,0,0,1,0,https://www.imdb.com/name/nm0652783/?ref_=fn_nm_nm_1,0,98,2,0.1073282476802284
Chris Parnell,False,1998,2006,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0663177/?ref_=fn_nm_nm_0,0,148,3,0.11601133119200571
Nasim Pedrad,False,2009,2014,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm1840659/?ref_=fn_nm_nm_1,0,109,0,0.10662910421127766
Jay Pharoah,False,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm3982894/?ref_=fn_nm_nm_1,0,128,1,0.11037027123483227
Emily Prager,False,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0695104/?ref_=fn_nm_nm_0,0,4,1,0.08656093861527481
Randy Quaid,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001642/?ref_=fn_nm_nm_0,0,18,1,0.0932847073518915
Gilda Radner,False,1975,1980,5,0,0,5,5,0,0,0,0,1,0,https://www.imdb.com/name/nm0705717/?ref_=fn_nm_nm_0,3,107,2,0.10878970378301213
Chris Redd,False,2017,2022,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm5412083/?ref_=fn_nm_nm_1,0,100,1,0.10554773376159886
Jeff Richards (III),False,2001,2004,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0724145/?ref_=fn_al_nm_2,0,50,0,0.0959479835831549
Rob Riggle,False,2004,2005,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1443527/?ref_=fn_nm_nm_0,0,21,0,0.08862731977159172
Ann Risley,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0728315/?ref_=fn_nm_nm_0,0,12,0,0.09251918272662384
Chris Rock,False,1990,1993,3,0,0,3,2,0,1,0,0,1,3,https://www.imdb.com/name/nm0001674/?ref_=fn_nm_nm_0,0,57,17,0.09893156673804426
Jon Rudnitsky,False,2015,2016,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4339544/?ref_=fn_nm_nm_0,0,21,0,0.08862731977159172
Maya Rudolph,False,2000,2007,9,0,0,9,7,2,0,0,0,0,2,https://www.imdb.com/name/nm0748973/?ref_=fn_nm_nm_1,0,162,8,0.11842448846062337
Andy Samberg,False,2005,2012,7,0,0,7,6,1,0,0,0,0,1,https://www.imdb.com/name/nm1676221/?ref_=fn_nm_nm_1,17,140,5,0.11595104262261649
Paul Shaffer,False,1979,1980,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0787238/?ref_=fn_nm_nm_1,0,27,33,0.09024937544610992
Molly Shannon,False,1995,2001,7,0,0,7,6,1,0,0,0,1,1,https://www.imdb.com/name/nm0788340/?ref_=fn_nm_nm_1,0,117,7,0.11117052870398694
Jenny Slate,False,2009,2010,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2809577/?ref_=fn_nm_nm_1,0,22,0,0.08875044610992149
Pamela Stephenson,False,1984,1985,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0827298/?ref_=fn_nm_nm_1,0,18,0,0.09325794075660242
Ben Stiller,False,1989,1990,1,1,0,1,0,1,0,0,0,0,2,https://www.imdb.com/name/nm0001774/?ref_=fn_nm_nm_0,0,13,3,0.08772260885082084
Julia Sweeney,False,1990,1994,4,0,0,4,3,0,1,0,0,0,0,https://www.imdb.com/name/nm0842140/?ref_=fn_nm_nm_0,0,78,2,0.10257405424696646
Kenan Thompson,False,2003,2023,20,0,0,20,18,2,0,0,0,0,0,https://www.imdb.com/name/nm0860380/?ref_=fn_nm_nm_0,0,383,2,0.1575442541042113
Danitra Vance,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0888503/?ref_=fn_nm_nm_0,0,17,1,0.09316158101356173
Melissa Villaseñor,False,2016,2022,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm3830257/?ref_=fn_nm_nm_1,0,120,2,0.10941202712348323
Dan Vitale,False,1985,1986,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0899865/?ref_=fn_nm_nm_0,0,4,0,0.08653417201998573
Nancy Carell,False,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0909391/?ref_=fn_nm_nm_0,0,17,5,0.09326864739471805
Michaela Watkins,False,2008,2009,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1143861/?ref_=fn_nm_nm_1,0,15,0,0.08788856174161314
Damon Wayans,False,1985,1986,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0001834/?ref_=fn_nm_nm_1,0,11,2,0.08744958957887224
Patrick Weathers,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0915778/?ref_=fn_nm_nm_0,0,10,0,0.08727293004996431
Noël Wells,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3644706/?ref_=fn_nm_nm_1,0,21,0,0.08862731977159172
Brooks Wheelan,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm5120390/?ref_=fn_nm_nm_1,0,21,1,0.0886540863668808
Kristen Wiig,False,2005,2012,7,0,0,7,6,1,0,0,0,0,4,https://www.imdb.com/name/nm1325419/?ref_=fn_nm_nm_1,0,139,9,0.11393284133781992
Casey Wilson,False,2008,2009,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm1988111/?ref_=fn_nm_nm_1,0,30,0,0.09077712348322628
Sasheer Zamata,False,2014,2017,4,0,0,4,3,1,0,0,0,0,0,https://www.imdb.com/name/nm3550886/?ref_=fn_nm_nm_1,0,74,0,0.10202801570306924
Alan Zweibel,False,1980,1980,1,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1,110,52,0,0.10539926837972877
