person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Terry Sweeney,False,1980,1986,3,2,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0842202/?ref_=fn_nm_nm_1,31,18,1,0.03901900428265525
Bowen Yang,True,2019,2023,5,1,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm6299248/?ref_=fn_nm_nm_1,0,59,0,0.08247278729478943
Anne Beatts,False,1975,1980,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0064186/?ref_=fn_nm_nm_0,108,41,0,0.022975999286224125
Lorne Michaels,True,1975,2023,43,43,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0584427/?ref_=fn_nm_nm_1,833,6,915,1
Marilyn Suzanne Miller,False,1975,1995,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0588897/?ref_=fn_nm_nm_0,137,21,1,0.02603899000713776
Herbert Sargent,False,1975,1995,17,17,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0765109/?ref_=fn_nm_nm_0,319,0,0,0.07292498530461436
Rosie Shuster,False,1975,1988,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0776874/?ref_=fn_nm_nm_1,161,44,1,0.03273911491791577
Bruce McCall (I),False,1976,1977,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0564620/?ref_=fn_al_nm_0,7,0,0,0.001866077801570307
Neil Levy,False,1977,1978,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0506561/?ref_=fn_nm_nm_1,16,53,3,0.009532030692362598
Brian McConnachie,False,1978,1979,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0566234/?ref_=fn_nm_nm_1,23,3,0,0.004119825124910778
Walter Williams,False,1978,1979,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0931906/?ref_=fn_nm_nm_1,23,25,25,0.007497769450392577
Tom Gammill,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0303991/?ref_=fn_nm_nm_1,20,12,0,0.004874643112062812
Matt Neuman,False,1979,1981,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1238470/?ref_=fn_nm_nm_0,21,1,0,0.004679693076374019
Sarah Paley,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1238548/?ref_=fn_nm_nm_0,20,10,0,0.004628390435403283
Max Pross,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0698795/?ref_=fn_nm_nm_0,20,14,1,0.005147662384011421
Larry Arnstein,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0036784/?ref_=fn_nm_nm_1,12,0,0,0.0024549428979300496
Barry W. Blaustein,False,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0087904/?ref_=fn_nm_nm_1,56,1,22,0.01043228051391863
Billy Brown (X),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0113126/?ref_=fn_nm_nm_1,13,0,0,0.0025727159172019985
Ferris Butler,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953521/?ref_=fn_nm_nm_1,12,0,0,0.0024549428979300496
John DeBellis,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0213377/?ref_=fn_nm_nm_0,12,0,0,0.0024549428979300496
Jean Doumanian,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235389/?ref_=fn_nm_nm_1,13,0,109,0.005490274803711634
Nancy Dowd,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235683/?ref_=fn_nm_nm_0,2,0,0,0.0012772127052105638
Leslie Fuller (III),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1392887/?ref_=fn_al_nm_2,10,0,0,0.0022193968593861527
Mel Green (II),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0338154/?ref_=ttfc_fc_wr638,13,0,0,0.0025727159172019985
David Hurwitz,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0403791/?ref_=fn_nm_nm_2,12,0,0,0.0024549428979300496
Judith Belushi-Pisano,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0413147/?ref_=fn_nm_nm_1,1,0,1,0.0011862062812276945
Sean Kelly (V),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0446859/?ref_=fn_nm_nm_1,2,0,0,0.0012772127052105638
Mitchell Kriegman,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0471233/?ref_=fn_nm_nm_0,5,5,1,0.002272930049964311
Patricia Marx,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0555658/?ref_=fn_nm_nm_2,12,0,0,0.0024549428979300496
Douglas McGrath,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0569790/?ref_=fn_nm_nm_0,13,1,0,0.002695842255531763
Tom Moore (III),False,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0601964/?ref_=fn_nm_nm_1,1,0,0,0.15115943968593862
Pamela Norris,False,1980,1984,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0635873/?ref_=fn_nm_nm_1,65,1,0,0.01194503925767309
Mark Reisman,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0718459/?ref_=fn_nm_nm_1,4,0,0,0.0015127587437544611
David Sheffield,False,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0790775/?ref_=fn_nm_nm_1,56,1,39,0.010887312633832977
Jeremy Stevens,False,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0828484/?ref_=fn_nm_nm_1,2,0,0,0.15127721270521055
Bob Tischler,False,1980,1985,5,5,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0864293/?ref_=fn_nm_nm_1,72,1,80,0.13595244468236975
Mason Williams,False,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0931281/?ref_=fn_nm_nm_1,2,0,0,0.15127721270521055
Dirk Wittenborn,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0936999/?ref_=fn_nm_nm_1,1,0,0,0.0011594396859386153
Joe Bodolai,False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1188688/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Nate Herman,False,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953522/?ref_=fn_nm_nm_1,77,7,0,0.014097073518915062
Nelson Lyon,False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0528962/?ref_=fn_nm_nm_1,20,2,0,0.0036433797287651675
Mark O'Donnell (IV),False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2843346/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Margaret Oberman,False,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0643315/?ref_=fn_nm_nm_1,57,0,0,0.010879728765167736
Andrew Smith (III),False,1981,1985,4,4,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0807308/?ref_=ttfc_fc_wr367,60,5,0,0.0868486795146324
Terry Southern,False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0816143/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Eliot Wald,False,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0906997/?ref_=fn_nm_nm_1,77,0,1,0.013261955745895788
Andrew Kurtzman,False,1982,1985,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0476065/?ref_=fn_nm_nm_1,56,1,1,0.009870182012847967
Ellen L. Fogle,False,1982,1983,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0283941/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Tracy Tormé,False,1982,1983,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0868124/?ref_=fn_nm_nm_1,19,0,0,0.0032793540328336906
Andy Breckman,False,1983,1987,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0106563/?ref_=fn_nm_nm_1,63,10,5,0.011909796573875801
Adam Green (II),False,1983,1984,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0337580/?ref_=ttfc_fc_wr591,19,0,0,0.0032793540328336906
Kevin Kelton,False,1983,1985,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0447124/?ref_=fn_nm_nm_0,37,4,0,0.00693344039971449
Michael C. McCarthy,False,1983,1984,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0565258/?ref_=fn_nm_nm_0,16,0,0,0.0029260349750178443
Larry David,False,1984,1985,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0202970/?ref_=fn_nm_nm_1,18,18,4,0.005484921484653818
Rob Riley (I),False,1984,1985,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0726988/?ref_=fn_al_nm_7,16,5,0,0.003541666666666667
Jack Handey,False,1985,2001,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0359532/?ref_=fn_nm_nm_1,179,0,80,0.03363936473947181
Lanier Laney,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0485640/?ref_=fn_nm_nm_0,18,2,0,0.0034078336902212706
Carol Leifer,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0500140/?ref_=fn_nm_nm_0,18,4,0,0.003654086366880799
George Meyer,False,1985,1989,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0583127/?ref_=fn_nm_nm_0,71,0,0,0.012528551034975018
Bruce McCulloch,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0567126/?ref_=fn_nm_nm_1,0,3,3,0.0014913454675231977
Richard Rosen (IV),False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2399917/?ref_=fn_nm_nm_1,3,0,0,0.0013949857244825125
Suzy Schneider,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2954512/?ref_=fn_nm_nm_2,6,0,0,0.0017483047822983583
John Swartzwelder,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0841990/?ref_=fn_nm_nm_1,18,4,0,0.003654086366880799
E. Jean Carroll,False,1986,1987,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0140800/?ref_=fn_nm_nm_0,18,0,0,0.0031615810135617413
Marc Shaiman,False,1986,1989,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0003299/?ref_=fn_nm_nm_0,20,14,4,0.006269628836545325
Bonnie Turner,False,1986,1992,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0877425/?ref_=fn_nm_nm_0,130,13,1,0.02318790149892934
Terry Turner,False,1986,1992,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0877901/?ref_=fn_nm_nm_0,130,10,2,0.02284528907922912
Jon Vitti,False,1986,1987,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0900140/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Christine Zander,False,1986,1993,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0952863/?ref_=fn_nm_nm_0,130,25,1,0.02570708422555318
Greg Daniels,False,1987,1990,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0199948/?ref_=fn_nm_nm_1,53,0,0,0.009366970021413276
Conan O'Brien,False,1987,1991,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0005277/?ref_=fn_nm_nm_0,72,21,3,0.015312276945039258
Bob Odenkirk,False,1987,1991,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0644022/?ref_=fn_nm_nm_1,131,13,1,0.021222341184867953
John Bowman,False,1988,1989,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0101337/?ref_=fn_nm_nm_0,21,2,0,0.003761152748037116
Shannon Gaughan,False,1988,1989,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0969183/?ref_=fn_nm_nm_0,20,0,0,0.003397127052105639
Tom Hymes,False,1989,1990,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1631821/?ref_=fn_nm_nm_1,16,0,0,0.0029260349750178443
Dan McGrath (I),False,1990,1992,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0569775/?ref_=fn_nm_nm_1,36,0,0,0.0063231620271234825
Andy Robin (I),False,1990,1991,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0732165/?ref_=fn_nm_nm_1,18,1,0,0.003284707351891506
Warren Hutcherson,False,1991,1993,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0404209/?ref_=fn_nm_nm_0,40,4,1,0.0073135260528194145
Steve Koren,False,1991,1998,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0466175/?ref_=fn_nm_nm_0,120,6,1,0.0211482869379015
Ian Maxtone-Graham,False,1991,1995,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0561631/?ref_=fn_nm_nm_0,61,4,1,0.011870092790863668
Bruce Handy,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1554692/?ref_=fn_nm_nm_0,19,0,0,0.0032793540328336906
Dawna Kaufmann,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0442126/?ref_=fn_nm_nm_1,18,0,0,0.0031615810135617413
David Mandel,False,1992,1995,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0541635/?ref_=fn_nm_nm_0,61,3,0,0.010678533190578158
Vanessa Middleton,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0585583/?ref_=fn_nm_nm_1,19,0,0,0.0032793540328336906
Glenn Rockowitz,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1032308/?ref_=fn_nm_nm_0,6,0,0,0.0017483047822983583
Dave Attell,False,1993,1994,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0040995/?ref_=fn_nm_nm_0,20,7,0,0.00425901142041399
Tony De Sena (I),False,1993,1994,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1096215/?ref_=fn_al_nm_0,20,0,0,0.003397127052105639
Tim Herlihy,False,1993,2000,7,7,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0379056/?ref_=fn_nm_nm_0,137,1,60,0.04658426379116957
Steve Lookner,False,1993,1995,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0382769/?ref_=fn_nm_nm_1,40,2,0,0.007040506780870806
Lewis Morton,False,1993,1995,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0608034/?ref_=fn_nm_nm_0,40,1,1,0.006944147037830122
Ross Abrash,False,1994,1998,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1039205/?ref_=fn_nm_nm_0,80,0,0,0.013588508208422556
Norm Hiscock,False,1994,1997,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0386780/?ref_=fn_nm_nm_0,60,4,1,0.010710653104925054
Brian Kelley (I),False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0445877/?ref_=fn_al_nm_5,20,0,0,0.003397127052105639
Margo Meyer,False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm12200979/?ref_=fn_nm_nm_0,0,0,0,0.0010416666666666667
Adam Resnick,False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0720304/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Drake Sather,False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0766153/?ref_=fn_nm_nm_0,21,0,0,0.0035149000713775875
Steve Higgins,True,1995,2023,28,28,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0383492/?ref_=fn_nm_nm_1,534,61,483,0.11785357397777099
Cindy Caponera,False,1995,1998,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0135359/?ref_=fn_nm_nm_0,60,10,0,0.01142264453961456
Hugh Fink,False,1995,2002,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0277813/?ref_=fn_nm_nm_1,141,5,2,0.024566827266238406
Tom Gianas,False,1995,1998,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0316139/?ref_=fn_nm_nm_1,60,4,0,0.010683886509635974
Peter Gaulke,False,1995,1996,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0310087/?ref_=fn_nm_nm_1,16,0,0,0.0029260349750178443
Erin Fraser (III),False,1995,1996,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0549524/?ref_=fn_al_nm_0,18,0,0,0.0031615810135617413
Adam McKay,False,1995,2001,6,6,3,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0570912/?ref_=fn_nm_nm_1,126,15,9,0.09817719486081371
Dennis McNicholas,False,1995,2023,18,18,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0574005/?ref_=fn_nm_nm_0,323,19,144,0.09631780870806568
Lori Nasso,False,1995,1999,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0621994/?ref_=fn_nm_nm_0,79,14,1,0.015221270521056388
Paula Pell,False,1995,2009,18,18,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0996134/?ref_=fn_nm_nm_1,311,66,4,0.08027748037116346
Frank Sebastiano,False,1995,2006,9,9,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0780980/?ref_=fn_nm_nm_0,173,3,1,0.030145877944325484
Andrew Steele (I),False,1995,2008,13,13,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0824482/?ref_=fn_nm_nm_1,240,1,0,0.08808416378411024
David Breckman,False,1996,1997,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1184512/?ref_=fn_nm_nm_0,20,0,0,0.003397127052105639
Robert Carlock,False,1996,2001,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1061622/?ref_=fn_nm_nm_1,103,7,0,0.01820083868665239
Stephen Colbert,False,1996,1997,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0170306/?ref_=fn_nm_nm_0,23,17,0,0.005843593861527481
Matt Piedmont,False,1996,2002,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0682126/?ref_=fn_nm_nm_1,119,3,0,0.020634368308351178
Scott Wainio,False,1996,2003,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0906511/?ref_=fn_nm_nm_0,139,7,1,0.024550767309064955
Michael McCullers,False,1997,1998,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0567112/?ref_=fn_nm_nm_0,20,0,0,0.003397127052105639
Michael Schur,False,1997,2004,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1321658/?ref_=fn_nm_nm_0,138,3,40,0.02498438615274804
Jerry Collins,False,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0172381/?ref_=fn_nm_nm_0,39,0,0,0.00667648108493933
Steven Cragg,False,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0185735/?ref_=fn_nm_nm_1,39,3,0,0.007045860099928622
Tony Daro,False,1998,2001,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1720857/?ref_=fn_nm_nm_0,58,0,0,0.00995583511777302
Richard Francese,False,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0289927/?ref_=fn_nm_nm_0,39,11,1,0.008057637401855817
Matt Graham (II),False,1998,1999,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1757994/?ref_=fn_nm_nm_1,18,0,0,0.0031615810135617413
Ray James,False,1998,1999,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0416853/?ref_=fn_nm_nm_0,22,1,0,0.0037557994289793006
T. Sean Shannon,False,1998,2006,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0780643/?ref_=fn_nm_nm_0,158,0,7,0.027128836545324768
Kevin Brennan,False,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0107339/?ref_=fn_nm_nm_1,0,0,0,0.0010416666666666667
Ali Reza,False,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0995946/?ref_=fn_nm_nm_0,17,0,0,0.003043807994289793
J.J. Philbin,False,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0679902/?ref_=fn_nm_nm_1,17,0,0,0.003043807994289793
James Anderson (XI),False,2000,2020,20,20,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1318184/?ref_=fn_al_nm_9,404,9,0,0.06952177016416845
Melanie Graham (I),False,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0334218/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Erik Kenward,True,2000,2023,23,23,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1334502/?ref_=fn_nm_nm_0,435,0,228,0.08129238044254104
Jon Rosenfeld,False,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1720897/?ref_=fn_nm_nm_2,18,0,0,0.0031615810135617413
Doug Abeles,False,2001,2011,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1263023/?ref_=fn_nm_nm_1,197,3,66,0.03575392576730907
Max Brooks,False,2001,2003,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0112150/?ref_=fn_nm_nm_0,40,0,0,0.006794254104211278
Louis C.K.,False,2001,2004,3,3,0,0,0,0,0,0,0,0,4,https://www.imdb.com/name/nm0127373/?ref_=fn_nm_nm_0,15,0,4,0.004998661670235546
Charlie Grandy,False,2001,2008,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0334946/?ref_=fn_nm_nm_0,131,1,32,0.02369958957887224
Ken Scarborough,False,2001,2004,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0769095/?ref_=fn_nm_nm_0,75,0,0,0.011957976445396146
Barry Sobel,False,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0811746/?ref_=fn_nm_nm_0,20,0,0,0.003397127052105639
Leo Allen,False,2002,2005,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1179485/?ref_=fn_nm_nm_1,60,3,0,0.01056076017130621
James Eagan,False,2002,2004,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0247063/?ref_=fn_nm_nm_0,39,0,0,0.00667648108493933
Corwin Moore,False,2002,2003,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0601074/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Eric Slovin,False,2002,2005,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0806246/?ref_=fn_nm_nm_1,60,11,0,0.011545770877944325
Emily Spivey,False,2002,2010,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0819225/?ref_=fn_nm_nm_1,180,7,1,0.03042112776588151
Jordan Black,False,2003,2004,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0085359/?ref_=fn_nm_nm_1,20,0,0,0.003397127052105639
Liz Cackowski,False,2003,2006,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1560199/?ref_=fn_nm_nm_0,59,5,0,0.01068923982869379
David Iserson,False,2003,2004,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1503347/?ref_=fn_nm_nm_0,20,0,0,0.003397127052105639
Joe Kelly,False,2003,2013,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1918708/?ref_=fn_nm_nm_0,59,1,0,0.010196734475374733
John Lutz,False,2003,2010,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0527572/?ref_=fn_nm_nm_0,115,21,0,0.02342121698786581
J.B. Smoove,False,2003,2006,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1356578/?ref_=fn_nm_nm_0,60,12,0,0.01166889721627409
Rich Talarico,False,2003,2005,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0847822/?ref_=fn_nm_nm_0,40,1,0,0.006917380442541043
Alex Baze,False,2004,2014,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1733287/?ref_=fn_nm_nm_0,195,0,56,0.034881334760885084
Matt Murray (I),False,2004,2007,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1230361/?ref_=fn_al_nm_2,139,0,0,0.019495449678800857
Lauren Pomerantz,False,2004,2005,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1729395/?ref_=fn_nm_nm_0,20,0,0,0.003397127052105639
Akiva Schaffer,False,2005,2011,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1676223/?ref_=fn_nm_nm_0,116,8,71,0.022797109207708777
Jorma Taccone,False,2005,2011,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1672246/?ref_=fn_nm_nm_0,100,22,29,0.021512312633832978
Bryan H. Tucker,True,2005,2023,18,18,5,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1317704/?ref_=fn_nm_nm_1,327,9,0,0.10003658101356173
Marika Sawyer,False,2006,2014,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2854926/?ref_=fn_nm_nm_0,142,2,0,0.025303354746609566
John Solomon,False,2006,2015,9,9,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1231253/?ref_=fn_nm_nm_0,148,7,17,0.028122323340471093
Rob Klein,False,2007,2017,10,10,3,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2914092/?ref_=fn_nm_nm_1,182,0,0,0.07685135617416132
Simon Rich,False,2007,2011,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2919995/?ref_=fn_nm_nm_0,84,4,0,0.014552105638829405
