imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end,genre-single
https://www.imdb.com/title/tt7860890/,1.000603997,The Zen Diaries of Garry Shandling,"['TV Movie', '20182018', 'TV-MATV-MA', '4h 19m']",10,"['Gilda Radner', 'Kevin Nealon', 'Adam Sandler', 'Sarah Silverman', 'Bob Odenkirk', ""Conan O'Brien"", 'Robert Downey Jr.', 'Chris Rock', 'Ben Stiller', 'Alan Zweibel']",10,"['Documentary', 'Biography', 'Comedy']","['Garry Shandling', 'Judd Apatow', 'Kevin Nealon', 'Mike Shandling', 'Eric Cohen', 'Merrill Markoe', 'Gavin de Becker', 'Lewis Smith', 'John Markus', 'Jim Carrey', 'Bob Saget', 'Dave Coulier', 'Jay Leno', 'Chuck Schumacher', 'Bruce Grayson', 'Ed Solomon', 'Brad Grey', 'Paul Willson']",0,"['Judd Apatow', 'Garry Shandling', 'Judd Apatow', 'Kevin Nealon', 'Judd Apatow', 'Garry Shandling', 'Judd Apatow', 'Kevin Nealon']",,['TV Movie'],2018,2018,Documentary
https://www.imdb.com/title/tt7860890/,1.000603997,The Zen Diaries of Garry Shandling,"['TV Movie', '20182018', 'TV-MATV-MA', '4h 19m']",10,"['Gilda Radner', 'Kevin Nealon', 'Adam Sandler', 'Sarah Silverman', 'Bob Odenkirk', ""Conan O'Brien"", 'Robert Downey Jr.', 'Chris Rock', 'Ben Stiller', 'Alan Zweibel']",10,"['Documentary', 'Biography', 'Comedy']","['Garry Shandling', 'Judd Apatow', 'Kevin Nealon', 'Mike Shandling', 'Eric Cohen', 'Merrill Markoe', 'Gavin de Becker', 'Lewis Smith', 'John Markus', 'Jim Carrey', 'Bob Saget', 'Dave Coulier', 'Jay Leno', 'Chuck Schumacher', 'Bruce Grayson', 'Ed Solomon', 'Brad Grey', 'Paul Willson']",0,"['Judd Apatow', 'Garry Shandling', 'Judd Apatow', 'Kevin Nealon', 'Judd Apatow', 'Garry Shandling', 'Judd Apatow', 'Kevin Nealon']",,['TV Movie'],2018,2018, 'Biography
https://www.imdb.com/title/tt7860890/,1.000603997,The Zen Diaries of Garry Shandling,"['TV Movie', '20182018', 'TV-MATV-MA', '4h 19m']",10,"['Gilda Radner', 'Kevin Nealon', 'Adam Sandler', 'Sarah Silverman', 'Bob Odenkirk', ""Conan O'Brien"", 'Robert Downey Jr.', 'Chris Rock', 'Ben Stiller', 'Alan Zweibel']",10,"['Documentary', 'Biography', 'Comedy']","['Garry Shandling', 'Judd Apatow', 'Kevin Nealon', 'Mike Shandling', 'Eric Cohen', 'Merrill Markoe', 'Gavin de Becker', 'Lewis Smith', 'John Markus', 'Jim Carrey', 'Bob Saget', 'Dave Coulier', 'Jay Leno', 'Chuck Schumacher', 'Bruce Grayson', 'Ed Solomon', 'Brad Grey', 'Paul Willson']",0,"['Judd Apatow', 'Garry Shandling', 'Judd Apatow', 'Kevin Nealon', 'Judd Apatow', 'Garry Shandling', 'Judd Apatow', 'Kevin Nealon']",,['TV Movie'],2018,2018, 'Comedy
https://www.imdb.com/title/tt5349044/,1.01380358,Prom Queen,"['20152015', '5m']",10,"[""Michael Patrick O'Brien"", 'Pete Davidson', 'Aidy Bryant', 'Bobby Moynihan', ""Michael Patrick O'Brien (II) "", 'Kate McKinnon', 'Sasheer Zamata', 'Vanessa Bayer']",8,"['Short', 'Comedy']","['Vanessa Bayer', 'Aidy Bryant', 'Pete Davidson', 'Michael Keaton', 'Kate McKinnon', 'Bobby Moynihan', ""Michael Patrick O'Brien"", 'Sasheer Zamata']",0,"['Oz Rodriguez', 'Matt Villines', ""Michael Patrick O'Brien"", 'Vanessa Bayer', 'Aidy Bryant', 'Pete Davidson', 'Oz Rodriguez', 'Matt Villines', ""Michael Patrick O'Brien"", 'Vanessa Bayer', 'Aidy Bryant', 'Pete Davidson']","['Broadway Video', 'NBC Studios', 'SNL Studios', '']",['Film'],2015,2015,Short
https://www.imdb.com/title/tt5349044/,1.01380358,Prom Queen,"['20152015', '5m']",10,"[""Michael Patrick O'Brien"", 'Pete Davidson', 'Aidy Bryant', 'Bobby Moynihan', ""Michael Patrick O'Brien (II) "", 'Kate McKinnon', 'Sasheer Zamata', 'Vanessa Bayer']",8,"['Short', 'Comedy']","['Vanessa Bayer', 'Aidy Bryant', 'Pete Davidson', 'Michael Keaton', 'Kate McKinnon', 'Bobby Moynihan', ""Michael Patrick O'Brien"", 'Sasheer Zamata']",0,"['Oz Rodriguez', 'Matt Villines', ""Michael Patrick O'Brien"", 'Vanessa Bayer', 'Aidy Bryant', 'Pete Davidson', 'Oz Rodriguez', 'Matt Villines', ""Michael Patrick O'Brien"", 'Vanessa Bayer', 'Aidy Bryant', 'Pete Davidson']","['Broadway Video', 'NBC Studios', 'SNL Studios', '']",['Film'],2015,2015, 'Comedy
https://www.imdb.com/title/tt12113922/,1.015051717,Heads Will Roll,"['Podcast Series', '2020– 2020– ']",10,"['Steve Higgins', 'Chris Redd', 'Sudi Green', 'Anna Drezen', 'Aidy Bryant', 'Sam Jay', 'Kate McKinnon', 'Heidi Gardner', 'Alex Moffat']",9,['Comedy'],"['Kate McKinnon', 'Emily Lynne', 'Meryl Streep', 'Tim Gunn', 'Audra McDonald', 'Andrea Martin', 'Carol Kane', 'Peter Dinklage', 'Aidy Bryant', 'Alex Moffat', 'Heidi Gardner', 'Chris Redd', 'Steve Higgins', 'Esther Perel', 'Caldwell Tidicue', 'Jonathan Van Ness', 'Antoni Porowski', 'Tan France']",10,"['Emily Lynne', 'Kate McKinnon', 'Kate McKinnon', 'Emily Lynne', 'Meryl Streep', 'Emily Lynne', 'Kate McKinnon', 'Kate McKinnon', 'Emily Lynne', 'Meryl Streep']","['Audible', 'Broadway Video', '']",['Podcast Series'],2020,2020,Comedy
https://www.imdb.com/title/tt0346462/,1.024252497,The 43rd Annual Primetime Emmy Awards,"['TV Special', '19911991']",9,"['Jan Hooks', 'Kevin Nealon', 'Dennis Miller', 'Laurie Metcalf', 'Rob Schneider', 'Andrew Smith (III)', 'Mike Myers', 'Herbert Sargent', 'Gilbert Gottfried']",9,[],"['Debbie Allen', 'Kirstie Alley', 'Loni Anderson', 'Christina Applegate', 'Bea Arthur', 'Elizabeth Ashley', 'Scott Bakula', 'Roseanne Barr', 'Candice Bergen', 'Peter Bergren', 'Crystal Bernard', 'Corbin Bernsen', 'Rubén Blades', 'John Voss Bonds Jr.', 'Lara Flynn Boyle', 'Blair Brown', 'Delta Burke', 'Carol Burnett']",0,"['Walter C. Miller', 'Bruce Eric Kaplan', 'Herbert Sargent', 'Andrew Smith', 'Debbie Allen', 'Kirstie Alley', 'Loni Anderson', 'Walter C. Miller', 'Bruce Eric Kaplan', 'Herbert Sargent', 'Andrew Smith', 'Debbie Allen', 'Kirstie Alley', 'Loni Anderson']",,['TV Special'],1991,1991,
https://www.imdb.com/title/tt0330328/,1.025225686,Gilda Radner's Greatest Moments,"['TV Special', '20022002', '43m']",7,"['Gilda Radner', 'Bill Murray', 'Dan Aykroyd', 'Paul Shaffer', 'Jane Curtin', 'Molly Shannon', 'Mike Myers']",7,['Comedy'],"['Gilda Radner', 'Molly Shannon', 'Victor Garber', 'Steve Martin', 'Paul Shaffer', 'Lily Tomlin', 'Barbara Walters', 'Dan Aykroyd', 'Don E. Carney', 'Lynda Carter', 'Bob Christianson', 'Pat Corley', 'Jane Curtin', 'Kermit the Frog', 'Jim Henson', 'Eric Idle', 'Madeline Kahn', 'Michael Kane']",0,"['Dennis Rosenblatt', 'David Leaf', 'Gilda Radner', 'Molly Shannon', 'Victor Garber', 'Dennis Rosenblatt', 'David Leaf', 'Gilda Radner', 'Molly Shannon', 'Victor Garber']",,['TV Special'],2002,2002,Comedy
https://www.imdb.com/title/tt2393995/,1.045856446,The 2012 Comedy Awards,"['TV Special', '20122012', '2h']",9,"['Chris Parnell', 'Amy Poehler', 'Billy Crystal', 'Chevy Chase', 'Chris Rock', 'Louis C.K.', 'Kristen Wiig', 'Tina Fey', 'Tracy Morgan']",9,['Comedy'],"['Will Arnett', 'Louis C.K.', 'Jim Carrey', 'Johnny Carson', 'Chevy Chase', 'Billy Crystal', 'Robert De Niro', 'Paul Feig', 'Tina Fey', 'Whoopi Goldberg', 'Ed Helms', 'Dean Martin', 'Joel McHale', 'Tracy Morgan', 'Patton Oswalt', 'Chris Parnell', 'Matthew Perry', 'Amy Poehler']",0,"['Beth McCarthy-Miller', 'Chris Albers', 'Lewis Friedman', 'Jon Macks', 'Will Arnett', 'Louis C.K.', 'Jim Carrey', 'Beth McCarthy-Miller', 'Chris Albers', 'Lewis Friedman', 'Jon Macks', 'Will Arnett', 'Louis C.K.', 'Jim Carrey']",,['TV Special'],2012,2012,Comedy
https://www.imdb.com/title/tt5005908/,1.047482564,2011 White House Correspondents' Association Dinner,"['TV Special', '20112011', '2h']",5,"['Seth Meyers', 'John Mulaney', 'Alex Baze', 'Doug Abeles']",4,['News'],"['Seth Meyers', 'Barack Obama', 'Michelle Obama', 'Donald Trump']",0,"['Doug Abeles', 'Alex Baze', 'Neal Brennan', 'Seth Meyers', 'Barack Obama', 'Michelle Obama', 'Doug Abeles', 'Alex Baze', 'Neal Brennan', 'Seth Meyers', 'Barack Obama', 'Michelle Obama']",,['TV Special'],2011,2011,News
