,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end,keep?
12589,Mike Myers,self,1992-2005,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Various",5,"1992-2005

Saturday Night Live
(TV Series)

Self / Self - Host / Various

- Steve Carell/Kanye West
(2005)
... Self (uncredited)


- Alec Baldwin/Missy Elliott
(2003)
... Self (uncredited)


- Mike Myers/Aerosmith
(1997)
... Self - Host


- Kevin Kline/Willie Nelson & Paul Simon
(1993)
... Self


- Tom Hanks/Bruce Springsteen
(1992)
... Self / Various",1992,2005,keep_year
12641,Mike Myers,actor,1989-2015,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Wayne Campbell / Linda Richman / ...",117,"1989-2015

Saturday Night Live
(TV Series)

Various / Wayne Campbell / Linda Richman / ...

- Ryan Gosling/Leon Bridges
(2015)
... Mike Myers (uncredited)


- Amy Adams/One Direction
(2014)
... Dr. Evil (uncredited)


- Dana Carvey/Linkin Park
(2011)
... Wayne Campbell / Self (uncredited)


- John Goodman/Jewel
(1997)
... Ron Wood


- David Hyde Pierce/Live
(1995)
... Various





Show all 117 episodes",1989,2015,keep_year
12798,Kevin Nealon,actor,1986-1999,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Franz / ...",170,"1986-1999

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Franz / ...

- Heather Graham/Marc Anthony
(1999)
... Franz (uncredited)


- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various / Sam Donaldson





Show all 170 episodes",1986,1999,keep_year
12955,Kevin Nealon,writer,1986-1987,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 20 episodes),20,"1986-1987

Saturday Night Live
(TV Series) (writer - 20 episodes)


- Dennis Hopper/Roy Orbison
(1987)
... (writer)


- Garry Shandling/Los Lobos
(1987)
... (writer)


- Mark Harmon/Suzanne Vega
(1987)
... (writer)


- John Larroquette/Timbuk-3
(1987)
... (writer)


- John Lithgow/Anita Baker
(1987)
... (writer)





Show all 20 episodes",1986,1987,keep_year
13038,Kevin Nealon,self,1988-2001,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Pete Toman / ...",5,"1988-2001

Saturday Night Live
(TV Series)

Self / Various / Pete Toman / ...

- Christopher Walken/Weezer
(2001)
... Self (uncredited)


- David Duchovny/Rod Stewart
(1995)
... Self / Pete Toman


- Tom Hanks/Bruce Springsteen
(1992)
... Self / Various / Weekend Update Anchor


- George Steinbrenner/Morris Day & The Time
(1990)
... Self / Steve / Rod Camacho / ...


- Tom Hanks/Randy Travis
(1988)
... Self / Various",1988,2001,keep_year
13189,Laraine Newman,self,1976-1977,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Gayvette / bachelorette / ...",4,"1976-1977

Saturday Night Live
(TV Series)

Self / Gayvette / bachelorette / ...

- Mary Kay Place/Willie Nelson
(1977)
... Self / Gayvette / bachelorette


- Steve Martin/Jackson Browne
(1977)
... Self / Alice Sloan


- Lily Tomlin/James Taylor
(1976)
... Self / Elna Sullivan / Self


- Raquel Welch/Phoebe Snow, John Sebastian
(1976)
... Self / Nurse",1976,1977,keep_year
13301,Laraine Newman,actress,1975-1980,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Sherry / Connie Conehead / ...",103,"1975-1980

Saturday Night Live
(TV Series)

Various / Sherry / Connie Conehead / ...

- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Govinda Lynn / Terri / Lenora Posniak


- Steve Martin/Paul & Linda McCartney/3-D
(1980)
... Marsha Craven / Tenant / Weena / ...


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... Mitsuyo Nemoto / Shonda the Cat Lady / Ruth


- Strother Martin/The Specials
(1980)
... Various


- Burt Reynolds/Anne Murray
(1980)
... Various





Show all 103 episodes",1975,1980,keep_year
13341,Don Novello,actor,1978-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Father Guido Sarducci / Mike / Various / ...",39,"1978-1995

Saturday Night Live
(TV Series)

Father Guido Sarducci / Mike / Various / ...

- Chevy Chase/Lisa Loeb and Nine Stories
(1995)
... Father Guido Sarducci (uncredited)


- Bill Murray/Sting
(1993)
... Father Guido Sarducci (as Father Guido Sarducci)


- Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic
(1986)
... Father Guido Sarducci (as Father Guido Sarducci)


- Oprah Winfrey/Joe Jackson
(1986)
... Detective


- Griffin Dunne/Rosanne Cash
(1986)
... Gianni Tucci





Show all 39 episodes",1978,1995,keep_year
13425,Luke Null,actor,2017-2018,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Tommy Schwartz",21,"2017-2018

Saturday Night Live
(TV Series)

Various / Tommy Schwartz

- Tina Fey/Nicki Minaj
(2018)
... Various


- Amy Schumer/Kacey Musgraves
(2018)
... Various


- Donald Glover/Childish Gambino
(2018)
... Various


- John Mulaney/Jack White
(2018)
... Various


- Chadwick Boseman/Cardi B
(2018)
... Various





Show all 21 episodes",2017,2018,keep_year
13427,Ego Nwodim,actress,2018-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various",59,"2018-2021

Saturday Night Live
(TV Series)

Various

- Anya Taylor-Joy/Lil Nas X
(2021)
... Various


- Keegan-Michael Key/Olivia Rodrigo
(2021)
... Various


- Elon Musk/Miley Cyrus
(2021)
... Various


- Carey Mulligan/Kid Cudi
(2021)
... Various


- Daniel Kaluuya/St. Vincent
(2021)
... Various





Show all 59 episodes",2018,2021,keep_year
13459,Michael O'Donoghue,actor,1975-1981,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Mr. Mike / Various / Narrator of 'Bizzaro World' / ...",35,"1975-1981

Saturday Night Live
(TV Series)

Mr. Mike / Various / Narrator of 'Bizzaro World' / ...

- Susan Saint James/The Kinks
(1981)
... Narrator of 'Bizzaro World' (voice, uncredited)


- Jr. Walker & the All-Stars
(1981)
... The Self-Righteous Announcer (voice, uncredited)


- Paul Simon, James Taylor & David Sanborn
(1980)
... Mr. Mike (uncredited)


- Buck Henry/Sun Ra
(1978)
... Mr. Mike (as Mr. Mike)


- Robert Klein/Bonnie Raitt
(1978)
... Mr. Mike (uncredited)





Show all 35 episodes",1975,1981,keep_year
