person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor
Rich Hall,1984,1985,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1,18,16
Fred Armisen,2002,2013,11,0,0,11,9,2,0,0,0,0,1,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_1,0,236
Morwenna Banks,1995,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1,0,3
Vanessa Bayer,2010,2017,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_1,0,149
Beck Bennett,2013,2021,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_1,0,164
Jim Breuer,1995,1998,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1,0,57
Paul Brittain,2010,2012,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_1,0,34
Aidy Bryant,2012,2021,9,0,0,9,8,1,0,0,0,0,0,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1,0,189
Beth Cahill,1991,1992,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1,0,13
Dana Carvey,1986,1993,7,0,0,7,7,0,0,0,0,1,4,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_1,0,130
Ellen Cleghorne,1991,1995,4,0,0,4,2,0,2,0,0,0,0,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_1,0,77
George Coe,1975,1975,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1,0,10
Joan Cusack,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1,0,17
Pete Davidson,2014,2021,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1,0,146
Denny Dillon,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_1,0,13
Robert Downey Jr.,1985,1986,1,0,0,1,1,0,0,0,0,0,1,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1,0,16
Rachel Dratch,1999,2006,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_1,0,145
Nora Dunn,1985,1990,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1,0,88
Dean Edwards,2001,2003,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1,0,40
Abby Elliott,2008,2012,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_1,0,81
Chris Elliott,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_1,0,19
Siobhan Fallon Hogan,1991,1992,1,0,0,1,0,0,1,0,0,0,0,https://www.imdb.com/name/nm0266441/?ref_=fn_nm_nm_1,0,20
Chris Farley,1990,1995,5,0,0,5,5,0,1,0,0,1,1,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_1,0,96
Will Ferrell,1995,2002,7,0,0,7,7,0,0,0,0,1,5,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1,0,140
Chloe Fineman,2019,2021,2,0,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0,42
Will Forte,2002,2010,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0,156
Heidi Gardner,2017,2021,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0,84
Janeane Garofalo,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0,14
Ana Gasteyer,1996,2002,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0,121
Gilbert Gottfried,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0,13
Bill Hader,2005,2013,8,0,0,8,7,1,0,0,0,0,2,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4,161
Anthony Michael Hall,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0,12
Darrell Hammond,1995,2009,14,0,0,14,14,0,0,0,0,0,0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0,313
Lauren Holt,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0,20
Jan Hooks,1986,1991,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_1,0,100
Yvonne Hudson,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0,31
Melanie Hutsell,1991,1994,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_1,0,53
Victoria Jackson,1986,1992,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0,109
Punkie Johnson,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_1,0,24
Chris Kattan,1996,2003,7,0,0,8,7,1,0,0,0,1,0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_1,0,148
Taran Killam,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0,128
David Koechner,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_1,0,21
Gary Kroeger,1982,1985,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0,56
Matthew Laurance,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0,9
Julia Louis-Dreyfus,1982,1985,3,0,0,3,3,0,0,0,0,0,3,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_1,0,58
Jon Lovitz,1985,1990,5,0,0,5,5,0,0,0,0,1,1,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_1,0,91
Michael McKean,1994,1995,1,0,0,2,2,0,0,0,0,0,1,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_1,0,27
Mark McKinney,1985,1997,12,1,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0,70
Kate McKinnon,2012,2021,10,0,0,10,8,2,0,0,0,0,0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0,194
Tim Meadows,1991,2000,10,1,0,10,10,0,0,0,0,1,0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20,183
Laurie Metcalf,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_1,0,1
John Milhiser,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1,0,21
Jerry Minor,2000,2001,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_1,20,20
Finesse Mitchell,2003,2006,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_1,0,59
Alex Moffat,2016,2021,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1,0,105
Jay Mohr,1993,1995,2,1,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_1,20,39
