person,credit_type,year,title,imdb_link,episode_count,add_info,year_start,year_end,keep?
Fred Armisen,actor-tt4947580,2017-2018,Nature Cat,https://www.imdb.com/title/tt4947580/,4,"2017-2018

Nature Cat
(TV Series)

Herbert the Hermit Crab

- Houston's Outdoor Adventure/Hotel Hal
(2018)
... Herbert the Hermit Crab (voice)


- Lights Out for Sea Turtles/Nature Art
(2018)
... Herbert the Hermit Crab (voice)


- Stop and Hear the Cicadas/Cold-Blooded
(2018)
... Herbert the Hermit Crab (voice)


- The Shell Game/Heron Food Blues
(2017)
... Herbert the Hermit Crab (voice)",2017,2018,keep_year
Fred Armisen,actor-tt4789300,2017,Lady Dynamite,https://www.imdb.com/title/tt4789300/,1,"2017

Lady Dynamite
(TV Series)

Miss Cookie Wolf

- Apache Justice
(2017)
... Miss Cookie Wolf",2017,0,keep_year
Fred Armisen,actor-tt6986764,2017,"Cabiria, Charity, Chastity",https://www.imdb.com/title/tt6986764/,0,"2017

Cabiria, Charity, Chastity
(Video short)

Aldo the Instructor",2017,0,keep_year
Fred Armisen,actor-tt4676574,2015-2017,Difficult People,https://www.imdb.com/title/tt4676574/,3,"2015-2017

Difficult People
(TV Series)

Garry Epstein

- Code Change
(2017)
... Garry Epstein


- Blade Stallion
(2016)
... Garry Epstein


- The Courage of a Soldier
(2015)
... Garry Epstein",2015,2017,keep_year
Fred Armisen,actor-tt4953128,2017,Animals.,https://www.imdb.com/title/tt4953128/,2,"2017

Animals.
(TV Series)

Alabaster

- Cats Part II
(2017)
... Alabaster (voice)


- Cats Part I
(2017)
... Alabaster (voice)",2017,0,keep_year
Fred Armisen,actor-tt4798814,2017,Son of Zorn,https://www.imdb.com/title/tt4798814/,1,"2017

Son of Zorn
(TV Series)

Vulchazor

- All Hail Son of Zorn
(2017)
... Vulchazor (voice)",2017,0,keep_year
Fred Armisen,actor-tt5816374,2017,Band Aid,https://www.imdb.com/title/tt5816374/,0,"2017

Band Aid

Dave",2017,0,keep_year
Fred Armisen,actor-tt5666304,2017,The Little Hours,https://www.imdb.com/title/tt5666304/,0,"2017

The Little Hours

Bishop Bartolomeo",2017,0,keep_year
Fred Armisen,actor-tt4197508,2016,Blunt Talk,https://www.imdb.com/title/tt4197508/,1,"2016

Blunt Talk
(TV Series)

Dr. Larry Simon

- Love Is Not Linear
(2016)
... Dr. Larry Simon",2016,0,keep_year
Fred Armisen,actor-tt6260712,2016,Resurgence: Its Early Albuquerque,https://www.imdb.com/title/tt6260712/,0,"2016

Resurgence: Its Early Albuquerque
(Video short)

Terry Dudley",2016,0,keep_year
