title,imdb_link,credits_count,snl_alums,cast_count
George and the Vacuum,https://www.imdb.com/title/tt4211246/,1,['Fred Armisen'],1
7 Days in Hell,https://www.imdb.com/title/tt3895884/,4,"['Fred Armisen', 'Andy Samberg', 'Will Forte']",3
Every Morning,https://www.imdb.com/title/tt4178186/,1,['Fred Armisen'],1
Archer,https://www.imdb.com/title/tt1486217/,3,"['Chris Parnell', 'Fred Armisen', 'George Coe']",3
Modern Family,https://www.imdb.com/title/tt1442437/,5,"['Rob Riggle', 'Billy Crystal', 'Vanessa Bayer', 'Horatio Sanz', 'Fred Armisen']",5
House of Lies,https://www.imdb.com/title/tt1797404/,2,"['Horatio Sanz', 'Fred Armisen']",2
Broad City,https://www.imdb.com/title/tt2578560/,9,"['Rachel Dratch', 'Chris Rock', 'Amy Poehler', 'Jane Curtin', 'Aidy Bryant', 'Janeane Garofalo', 'Fred Armisen']",7
Above Average Presents,https://www.imdb.com/title/tt5877444/,37,"['Taran Killam', 'Rachel Dratch', 'Bobby Moynihan', 'Jay Pharoah', 'Tim Robinson', 'Darrell Hammond', 'Chris Redd', 'Melanie Hutsell', 'Michael Che', 'Bill Hader', 'John Milhiser', 'Beck Bennett', 'Vanessa Bayer', 'Leslie Jones', 'Amy Poehler', 'Aidy Bryant', 'Kyle Mooney', 'Kate McKinnon', 'Jimmy Fallon', 'Fred Armisen', 'Tim Meadows', 'Tina Fey']",22
The Clash: The Last Gang in Town,https://www.imdb.com/title/tt4145640/,1,['Fred Armisen'],1
Grand Theft Auto V,https://www.imdb.com/title/tt2103188/,1,['Fred Armisen'],1
The Smurfs 2,https://www.imdb.com/title/tt2017020/,1,['Fred Armisen'],1
The Smurfs: The Legend of Smurfy Hollow,https://www.imdb.com/title/tt2958484/,1,['Fred Armisen'],1
Out There,https://www.imdb.com/title/tt2377271/,1,['Fred Armisen'],1
Kroll Show,https://www.imdb.com/title/tt1981538/,4,"['Fred Armisen', 'Amy Poehler', 'Paul Brittain', 'Will Forte']",4
Conan,https://www.imdb.com/title/tt1637574/,40,"['Colin Quinn', 'Nasim Pedrad', 'Molly Shannon', 'Heidi Gardner', 'Will Ferrell', 'Jon Rudnitsky', 'Jay Pharoah', 'Ego Nwodim', 'Kevin Nealon', 'Andy Samberg', 'Rob Schneider', 'Chris Redd', 'Julia Louis-Dreyfus', 'Seth Meyers', 'Norm MacDonald', 'Jon Lovitz', 'Leslie Jones', 'Chris Elliott', 'Amy Poehler', 'Maya Rudolph', 'Al Franken', 'Aidy Bryant', 'Chris Parnell', 'David Koechner', 'Kate McKinnon', 'Jimmy Fallon', 'Tracy Morgan', 'Rob Riggle', 'Will Forte', 'Adam Sandler', 'Fred Armisen', 'Tim Meadows', 'Tina Fey', 'Dana Carvey']",34
Vancouvria,https://www.imdb.com/title/tt2488280/,1,['Fred Armisen'],1
The Simpsons,https://www.imdb.com/title/tt0096697/,23,"['Taran Killam', 'Rachel Dratch', 'Phil Hartman', 'Christopher Guest', 'Bobby Moynihan', 'Jay Mohr', 'Julia Louis-Dreyfus', 'Bill Hader', 'Jon Lovitz', 'Vanessa Bayer', 'Amy Poehler', 'Maya Rudolph', 'Chris Parnell', 'Kate McKinnon', 'Tracy Morgan', 'Rob Riggle', 'Dan Aykroyd', 'Will Forte', 'Janeane Garofalo', 'Fred Armisen', 'Harry Shearer', 'Tina Fey', 'Michael McKean']",23
Saturday Night Live: Weekend Update Summer Edition,https://www.imdb.com/title/tt1217217/,31,"['Taran Killam', 'Nasim Pedrad', 'Mikey Day', 'Colin Jost', 'Will Ferrell', 'Bobby Moynihan', 'Jay Pharoah', 'Tim Robinson', 'Andy Samberg', 'Darrell Hammond', 'Seth Meyers', 'Michael Che', 'Bill Hader', 'Vanessa Bayer', 'Leslie Jones', 'Abby Elliott', 'Bill Murray', 'Amy Poehler', 'Maya Rudolph', 'Aidy Bryant', 'Alex Moffat', 'Chris Parnell', 'Kate McKinnon', 'Jimmy Fallon', 'Will Forte', 'Fred Armisen', 'Tina Fey']",27
The Dictator,https://www.imdb.com/title/tt1645170/,5,"['Chris Parnell', 'Horatio Sanz', 'Nasim Pedrad', 'Chris Elliott', 'Fred Armisen']",5
Up All Night,https://www.imdb.com/title/tt1843323/,5,"['Molly Shannon', 'Rachel Dratch', 'Will Forte', 'Maya Rudolph', 'Fred Armisen']",5
